,diary_index,title_raw,value_raw,title,value,owner
58,3,Age,26,age,26,diarist
59,3,Location,"Boise, ID",location,"boise, ID",diarist
60,3,Salary,"$65,000",salary,65000,diarist
61,3,Paycheck Amount (Monthly),"$2,400-4,500 (I get 100% commission, so my paychecks fluctuate.)",monthly paycheck,3500,diarist
62,3,Additional Monthly Income,"$250 from our tenant, which we put towards paying off house projects",income,250,diarist
63,3,Housing Cost,"~$200. My boyfriend, M., purchased a home after receiving money from an inheritance. There's no mortgage, but we split home projects and fees (insurance, property taxes, etc.).",misc,200,diarist
64,3,Student Loan Payment,$380 (and I don't like looking at how much is left!),student loan,380,diarist
65,3,Car Payment,$230,auto,230,diarist
66,3,Utilities,~$170,utilities,170,diarist
67,3,Health & Dental Insurance,~$160,health insurance,160,diarist
68,3,401(k),$300 (my employer matches up to 3%),savings,300,diarist
69,3,Roth IRA,$50,savings,50,diarist
70,3,Car Insurance,$95,auto,95,diarist
71,3,Line Of Credit Payment,"$300-400 (I was careless with credit cards in the past, but I recently opened a line of credit with my bank that has a lower interest rate than my credit card, so I transferred the outstanding amount to the LOC. I have around $3,000 left to pay.)",credit,350,diarist
72,3,Investments,"~$60 (I use Acorns and have a recurring investment, plus I have it set up to round up my purchases.)",savings,60,diarist
73,3,Coworking Space,$35,misc,35,diarist
74,3,Phone,$0 (My work covers the phone and bill.),utilities,0,diarist
75,3,Pet Health Plan,$26 (I split the $52 fee with my boyfriend.),utilities,26,diarist
76,3,Gym,$10,gym,10,diarist
77,3,Feminine Care,$9 (I get Cora tampons every month.),misc,9,diarist
78,3,Netflix,"$0 (Thanks, Sister!)",entertainment,0,diarist
79,3,Spotify,$9.99,entertainment,9.99,diarist
80,3,Sirius XM radio,$10.99,entertainment,10.99,diarist
81,3,Savings,"$400-1,000, depending on my income for the month",savings,7000,diarist
82,3,Quip Toothbrush Subscription,"$10, every three months",misc,3.33,diarist
83,4,Occupation,Stylist,occupation,stylist,diarist
84,4,Industry,Fashion Sales,industry,fashion sales,diarist
85,4,Age,30,age,30,diarist
86,4,Location,"Los Angeles, CA",location,"los angeles, CA",diarist
87,4,Salary,"$36,400",salary,36400,diarist
88,4,Paycheck Amount (2x/month),"$1,100, plus monthly bonus",monthly paycheck,2200,diarist
89,4,Rent,"$1,349 (Split evenly with my boyfriend)",rent,675,diarist
90,4,Student Loan Payment,$117,student loan,117,diarist
91,4,Cell Phone,$110,utilities,110,diarist
92,4,Cable & Internet,$74.94 (Split evenly with my boyfriend),utilities,37.5,diarist
93,4,Car Insurance,$0 (My parents generously still take care of this for me.),auto,0,diarist
94,4,Electric & Gas,"~$50, included in our monthly housing bill",utilities,25,diarist
95,4,Netflix,$0 (We use my boyfriend's parents' account.),entertainment,0,diarist
96,4,Hulu,$7.99,entertainment,7.99,diarist
97,4,Apple Music,$9.99,entertainment,9.99,diarist
98,4,iCloud Storage,$0.99,misc,0.99,diarist
99,4,Book Of The Month Subscription,$14.99,misc,14.99,diarist
100,4,Imperfect Produce Subscription,~$60 (boyfriend pays),misc,0,diarist
101,4,"Health, Vision & Dental Insurance",$0 (covered by my employer),health insurance,0,diarist
102,4,Savings,"~$60 (I recently started using the Digit app. I also have $5,582 in my 401(k) plan from my previous employer. My current employer does not match contributions, so I'm waiting until I earn a little more monthly to start retirement savings again.)",savings,60,diarist
103,4,Credit Card,~$400 (working to pay off my debt ASAP),credit,400,diarist
104,5,Occupation,Guest English Teacher,occupation,guest english teacher,diarist
105,5,Industry,Education,industry,education,diarist
106,5,Age,24,age,24,diarist
107,5,Location,"Daejeon, South Korea",location,"daejeon, south korea",diarist
108,5,Salary,"$25,000, plus a bonus at the end of my contract",salary,25000,diarist
109,5,Paycheck (Monthly),"$2,000",monthly paycheck,2000,diarist
110,5,Additional Tutoring & After-School Class Income,~$500,income,500,diarist
111,5,Rent,"$0 (Per my contract, my employer pays my rent, which is about $375/month.)",rent,0,diarist
112,5,Student Loan Payment,"$1,297.67 in federal loans. (Some are in my name, some are in my parents' names, but it's all my responsibility.)",student loan,1297.67,diarist
113,5,Health Insurance,"I have national health insurance, which covers general doctors, dentists, and optometrists. Half of the cost is covered by my employer, and the other half (about $30) is deducted from my income.",health insurance,30,diarist
114,5,Phone,$38,utilities,38,diarist
115,5,Internet,$0 (It's included in my rent.),utilities,0,diarist
116,5,School Lunches,~$60,misc,60,diarist
117,5,Utilities,$50-$80,utilities,65,diarist
118,5,Building Maintenance Fee,~$35,misc,35,diarist
119,5,Netflix,"$0 (Thanks, Dad.)",entertainment,0,diarist
120,5,Savings,$100 (If I'm good that month!),savings,100,diarist
121,6,Occupation,Part-Time Attorney,occupation,part-time attorney,diarist
122,6,Industry,Law,industry,law,diarist
123,6,Age,32,age,32,diarist
124,6,Location,"Central Valley, CA",location,"central valley, CA",diarist
125,6,MySalary,"$75,000",salary,75000,diarist
126,6,My Husband's Salary,"$90,000",salary,90000,spouse
127,6,My Paycheck Amount (Monthly),"$6,100",monthly paycheck,6100,diarist
128,6,MyHusband's Paycheck Amount (Biweekly),"$2,021",monthly paycheck,4042,spouse
129,6,Mortgage,"$1,590, including property taxes and insurance, for our three-bedroom/two-bathroom home on a half-acre lot",mortgage,1590,diarist
130,6,Student Loan Payment,"$0 (We paid off $233,000 in combined student loans.)",student loan,0,diarist
131,6,Childcare,"$1,700",childcare,1700,diarist
132,6,Utilities,"$580, including home services like pool cleaning, etc.",utilities,580,diarist
133,6,Auto/Umbrella Policy,$130,auto,130,diarist
134,6,Internet & Phones,$127,utilities,127,diarist
135,6,Husband's Union Dues,$66,misc,66,spouse
136,6,Recurring Monthly Donation,$25,charity,25,diarist
137,6,Medical Insurance Premiums,$425,health insurance,425,diarist
138,6,Husband's Pension Contribution,$990,savings,990,spouse
139,6,Daycare & Health Flex Savings Accounts,$460 (deducted from my husband's paycheck),childcare,460,spouse
140,6,Amazon Prime,$99/year,misc,8.25,diarist
141,6,Credit Card Annual Fees,$600/year,misc,50,diarist
142,6,Recurring Freelance Expenses,"$1,300/year",misc,108.33,diarist
143,7,Occupation,Program Director,occupation,program director,diarist
144,7,Industry,Public Health,industry,public health,diarist
145,7,Age,29,age,29,diarist
146,7,Location,"New York, NY",location,"new york, NY",diarist
147,7,Salary,"$106,000",salary,106000,diarist
148,7,Paycheck Amount (2x/month),"$2,444",monthly paycheck,2444,diarist
149,7,Rent,"$1,000. (Luckily, I split the rent with bae.)",rent,1000,diarist
150,7,Student Loan Payment,"$500 to a bunch of student loans, some of which are consolidated.",student loan,500,diarist
151,7,Health Insurance,$33.70,health insurance,33.7,diarist
152,7,Gym membership,$165,gym,165,diarist
153,7,Netflix,$12,entertainment,12,diarist
154,7,Spotify,$14,entertainment,14,diarist
155,7,Metrocard,$120,misc,120,diarist
156,7,403(b),$83.34,savings,83.34,diarist
157,8,Occupation,Marketing Data Analyst,occupation,marketing data analyst,diarist
158,8,Industry,Insurance,industry,insurance,diarist
159,8,Age,24,age,24,diarist
160,8,Location,"Boston, MA",location,"boston, MA",diarist
161,8,Salary,"$79,000",salary,79000,diarist
162,8,Paycheck (Biweekly),"$1,944",monthly paycheck,3888,diarist
163,8,Airbnb Income (Monthly),"~$2,500",income,2500,diarist
164,8,Rent,"$2,000 (My roommate moved out unexpectedly, so I now list my place on Airbnb.)",rent,2000,diarist
165,8,Student Loan Payment,$0 (I was lucky enough to get scholarships throughout college.),student loan,0,diarist
166,8,Health Insurance,$65 (taken out of my paycheck),health insurance,65,diarist
167,8,Gym,$175,gym,175,diarist
168,8,401(k),$243 (taken out of my paycheck),savings,243,diarist
169,8,Savings,"I just put whatever I have left at the end of the month into my various savings accounts. I currently have $54,000 saved, and I'm planning on buying a home within the next year.",savings,,diarist
170,8,Charity Donation,I donate 10% of my income to a couple charities (climate change and food security-related),charity,,diarist
171,8,Roth IRA,"$3,200 (at the end of the year)",savings,26666,diarist
172,9,Occupation,Graphic Designer,occupation,graphic designer,diarist
173,9,Industry,Creative/Advertising,industry,creative/advertising,diarist
174,9,Age,25,age,25,diarist
175,9,Location,"Salt Lake City, UT",location,"salt lake city, UT",diarist
176,9,Salary,"$50,000",salary,50000,diarist
177,9,Paycheck Amount (2x/month),"$1,550",monthly paycheck,1550,diarist
178,9,Rent,"$800 for my half (I live in a two-bedroom, two-bathroom apartment with my boyfriend.)",rent,800,diarist
179,9,Student Loan Payment,$0 (I finished paying off my student loans last fall.),student loan,0,diarist
180,9,Health Insurance,$80 (taken out of my paycheck),health insurance,80,diarist
181,9,Gas & Electric,"$15-50 for my half, depending on the season",utilities,47.5,diarist
182,9,Internet,$50,utilities,50,diarist
183,9,Parking,$25,auto,25,diarist
184,9,Auto Insurance,$111,auto,111,diarist
185,9,Cell Phone,$58,utilities,58,diarist
186,9,Adobe Creative Cloud Membership,$32,misc,32,diarist
187,9,Acorns App,$10,savings,10,diarist
188,9,401(k),$125,savings,125,diarist
189,9,Roth IRA,$100,savings,100,diarist
190,9,Savings,$415,savings,415,diarist
191,9,Bike Share Annual Pass,: $75/year,misc,75,diarist
192,10,Occupation,Assistant Director,occupation,assistant director,diarist
193,10,Industry,College Athletics,industry,college athletics,diarist
194,10,Age,25,age,25,diarist
195,10,Location,"Norman, OK",location,"norman, OK",diarist
196,10,Salary,"$38,000",salary,38000,diarist
197,10,Paycheck Amount (2x/month),"$1,133.42 (I'm currently also earning overtime, so my paycheck varies by $100-$400.)",monthly paycheck,2266.84,diarist
198,10,Rent,$685 for a one-bedroom on a golf course,rent,685,diarist
199,10,Monthly Loan Payments,"$459.86 (I have $40,000 in loans to pay off from undergrad. I went to school out of state and did not have a huge college fund.)",student loan,459.86,diarist
200,10,"Health, Dental & Vision Insurance",$303.75,health insurance,303.75,diarist
201,10,Internet,$40,utilities,40,diarist
202,10,Sling TV,$29.99,entertainment,29.99,diarist
203,10,Spotify,$9.99,entertainment,9.99,diarist
204,10,Utilities,"~$100 (It varies, depending on my work travel schedule.)",utilities,100,diarist
205,10,Car Insurance,$115,auto,115,diarist
206,10,Car Payment,"$366.82 (I didn't want to have a car payment right now, but my car broke down on me and was basically totaled, so I didn't really have a choice.)",auto,366.82,diarist
207,10,Ashley Furniture,$108.50,misc,108.5,diarist
208,10,Netflix,"$0 (Thanks, Mom and Dad!)",entertainment,0,diarist
209,11,Occupation,Video Editor,occupation,video editor,diarist
210,11,Industry,Film & Television,industry,film & television,diarist
211,11,Age,29,age,29,diarist
212,11,Location,"Los Angeles, CA",location,"los angeles, CA",diarist
213,11,MySalary,"$135,000",salary,135000,diarist
214,11,My Paycheck (Biweekly),"$3,650",monthly paycheck,7300,diarist
215,11,My Husband's Salary,"$105,000 (We got married late last year and haven't combined our finances through a joint account or anything yet. We keep our accounts separate, but split a lot of expenses or trade off paying for things.)",salary,105000,spouse
216,11,My Husband'sPaycheck (Monthly),"$6,000",monthly paycheck,6000,spouse
217,11,Rent,"$3,100 (split with my husband)",rent,1510,diarist
218,11,Student Loan Payment,$0 (I'm really grateful that my parents paid for school.),student loan,0,diarist
219,11,"Health, Vision & Dental Insurance",$0 (PPO insurance is included in my union dues.),health insurance,0,diarist
220,11,Internet,$70 for crap internet,utilities,70,diarist
221,11,Utilities,$0 (husband pays),utilities,0,diarist
222,11,Netflix,"$11 (I pay for Netflix, and my husband pays for HBO.)",entertainment,11,diarist
223,11,Credit Monitoring Service,"$20 (I had my identity stolen years ago, so I'm extra careful.)",misc,20,diarist
224,11,Roth IRA,"$300 (I don't have a 401(k) option through work since we have a union, and the company pays into my union pension.)",savings,300,diarist
225,11,Orangetheory,$129 for eight classes,gym,129,diarist
226,11,Gym,$20,gym,20,diarist
227,11,Planned Parenthood Donation,$15,charity,15,diarist
228,11,ACLU Donation,$15,charity,15,diarist
229,11,NPR Donation,$10,charity,10,diarist
230,11,Subscription,$10.50,misc,10.5,diarist
231,11,Car Payment,$0 (It's paid off!),auto,0,diarist
232,11,Auto & Renter's Insurance: $,150,auto,150,diarist
233,11,Savings,"$1,000",savings,1000,diarist
234,11,Union Dues,"$170, quarterly",misc,56.66,diarist
235,11,Amazon Prime,$100/year (My husband shares my account.),misc,100,diarist
236,12,Occupation,Teacher,occupation,teacher,diarist
237,12,Industry,Education,industry,education,diarist
238,12,Age,32,age,32,diarist
239,12,Location,"Conroe, TX (north of Houston)",location,"conroe, TX",diarist
240,12,MySalary,"$54,000",salary,54000,diarist
241,12,My Husband's Salary,"$67,000",salary,67000,spouse
242,12,MyPaycheck Amount (2x/month),"$1,674",monthly paycheck,3348,diarist
243,12,My Husband's Paycheck Amount (2x/month),"$2,250",monthly paycheck,4500,spouse
244,12,Mortgage,"$1,687 (This includes homeowner's insurance and property taxes.)",mortgage,1687,diarist
245,12,Student Loan Payment,"$0 (My college was covered by scholarships, and my husband's parents paid for his undergrad.)",student loan,0,diarist
246,12,Car Payment,$0 (Both of our cars are paid off.),auto,0,diarist
247,12,Health Insurance,"$148 for me, and my husband's employer covers his medical insurance",health insurance,148,diarist
248,12,Dental Insurance,"$16 for me, and my husband's employer covers his dental insurance",health insurance,16,diarist
249,12,Electric Bill,$50-100,utilities,75,diarist
250,12,Gas Bill,$20-50,utilities,35,diarist
251,12,"Water, Sewer & Trash",$150-200,utilities,175,diarist
252,12,Cable & Internet,$165,utilities,165,diarist
253,12,Car Insurance,$124,auto,124,diarist
254,12,Cell Phone,"$53 (I share a plan with my twin sister. My husband's parents inexplicably still pay for his, but he tries to pay them back in other ways.)",utilities,53,diarist
255,12,Netflix,$12,entertainment,12,diarist
256,12,Retirement,"$348.40 to the Teacher Retirement System, a pension that public school employees pay into instead of paying into Social Security. And my husband contributes $415 to his retirement fund.",savings,348..40,diarist
257,12,Savings & Investments,"$2,000-2,500, deposited into a brokerage account. (We try to save at least $20,000 a year, but we didn't meet that goal last year because we bought our home.)",savings,2250,diarist
258,12,Prescriptions,$15,misc,15,diarist
259,12,Subscription,$3,misc,3,diarist
260,12,Costco Membership,$60/year,misc,5,diarist
261,12,Lawn service,$174 (4x/year),misc,58,diarist
262,12,HOA,"$1,025/year",misc,85.42,diarist
263,12,Pest Control,$96 (6x/year),misc,48,diarist
264,13,Occupation,Corporate Accounting Manager,occupation,corporate accounting manager,diarist
265,13,Industry,Manufacturing,industry,manufacturing,diarist
266,13,Age,31,age,31,diarist
267,13,Location,"St. Paul, MN",location,"st. paul, MN",diarist
268,13,MySalary,"$95,000",salary,95000,diarist
269,13,My Husband's Salary,"$70,000",salary,70000,spouse
270,13,Paycheck Amount (2x/month),"$2,866",monthly paycheck,2866,diarist
271,13,My Husband's Paycheck Amount (2x/month),"$1,831",monthly paycheck,1831,spouse
272,13,Mortgage,"$2,145 (includes P&I, HO insurance, property taxes, and flood insurance)",mortgage,2145,diarist
273,13,Car Loan Payment,$325,auto,325,diarist
274,13,Student Loan Payment,"$0 (Mine are paid off, and my husband's education was paid by the GI Bill.)",student loan,0,diarist
275,13,"Electric, Gas, Garbage & Water",~$200,utilities,200,diarist
276,13,Internet,$69,utilities,69,diarist
277,13,Life Insurance,$292 (includes a combination of whole life with cash value and term),misc,292,diarist
278,13,Car Insurance,$180 (for both cars),auto,180,diarist
279,13,Netflix,$12,entertainment,12,diarist
280,13,Hulu,$10,entertainment,10,diarist
281,13,Preschool/Childcare,"$1,200 (for two children)",childcare,1200,diarist
282,13,HSA,$100 (My employer covers premiums and contributes $120.),health insurance,100,diarist
283,13,401(k),"6% of my salary (employer matches 3%), and same goes for my husband",savings,475,diarist
284,13,Savings,"$1,000 automatic transfers into a brokerage account. (We keep around $50,000 in checking and savings accounts for liquid savings, travel, and home improvement projects.)",savings,1000,diarist
285,13,MyDaughters' Savings Accounts,"$100 into each daughter's account, in addition to any money they receive as gifts. (I want to switch these over to education savings plans, but have not done so yet.)",savings,100,diarist
286,14,Occupation,Senior Analyst,occupation,senior analyst,diarist
287,14,Industry,Legal & Regulatory,industry,legal & regulatory,diarist
288,14,Age,30,age,30,diarist
289,14,Location,New York City,location,"new york, NY",diarist
290,14,Salary,"$99,000, with a 10% annual bonus",salary,99000,diarist
291,14,Paycheck Amount (Biweekly),"$2,104.57",monthly paycheck,4205.14,diarist
292,14,Rent,"$1,100 (I live with my boyfriend of six years, and we split our rent and shared expenses proportionate to our salaries. The total rent for our one-bedroom duplex in Manhattan is $2,900.)",rent,1100,diarist
293,14,Student Loan Payment,"$0 (My parents covered undergrad, and I worked full-time while completing my master's degree.)",student loan,0,diarist
294,14,MetroCard,$121 (taken out of my paycheck pre-tax),misc,121,diarist
295,14,"Health, Dental & Vision Insurance",$120,health insurance,120,diarist
296,14,Retirement,"$410 (6% of my salary, with a 5% corporate match)",savings,410,diarist
297,14,"Electricity, Gas, & Internet",~$140 (split with my boyfriend),utilities,140,diarist
298,14,Cleaning Service,$115 (split with my boyfriend),misc,57.5,diarist
299,14,"Hulu, Netflix, HBONow, & Spotify","$50 (I'm still on my family's cell plan, and in exchange I give my family access to all of my subscriptions.)",entertainment,50,diarist
300,14,Stitch Fix,$20 (every 6 weeks),misc,14.44,diarist
301,15,Occupation,Digital Marketing Specialist,occupation,digital marketing specialist ,diarist
302,15,Industry,Furniture,industry,furniture,diarist
303,15,Age,22,age,22,diarist
304,15,Location,"Petaluma, CA",location,"petaluma, CA",diarist
305,15,Salary,"$65,000",salary,65000,diarist
306,15,Paycheck Amount (Biweekly),"$1,873",monthly paycheck,1873,diarist
307,15,Rent,"$1,425 (I split the rent with my boyfriend.)",rent,712.5,diarist
308,15,Student Loan Payment,$0 (My parents paid my college tuition in full.),student loan,0,diarist
309,15,Car Loan Payment,$125 (I split the car loan with my boyfriend.),auto,125,diarist
310,15,"Health, Dental & Vision Insurance",$85,health insurance,85,diarist
311,15,Gas & Electric,"$100 (If it's more than $100, my boyfriend pays the rest.)",utilities,100,diarist
312,15,Water,$65,utilities,65,diarist
313,15,Garbage,$17,utilities,17,diarist
314,15,Spotify,$5 (I'm still using a student account.),entertainment,5,diarist
315,15,Internet,$0 (My boyfriend pays.),utilities,0,diarist
316,15,Netflix,$0 (We use my dad's account.),entertainment,0,diarist
317,15,Car Insurance,"~$1,000 (paid once a year)",auto,83.33,diarist
318,16,Occupation,Program Manager,occupation,program manager,diarist
319,16,Industry,Nonprofit,industry,nonprofit,diarist
320,16,Age,25,age,25,diarist
321,16,Location,Upstate New York,location,"upstate, NY",diarist
322,16,Salary,"$31,200",salary,31200,diarist
323,16,Paycheck Amount (2x/month),$941,monthly paycheck,1882,diarist
324,16,Rent,"$400 for my half. (I live in my friend's five-bedroom farmhouse on 82 acres, which is mostly forest.)",rent,400,diarist
325,16,Student Loan Payment,$0 (I was an AmeriCorps volunteer for two years.),student loan,0,diarist
326,16,Utilities,"~$30 (It depends on the month. We don't have A/C, and we heat the house using a wood stove. We supply the wood from the land we live on.)",utilities,30,diarist
327,16,Phone Bill,$80 (I have unlimited data and a hot spot. We can't get Internet at the house — we're pretty remote.),utilities,80,diarist
328,16,Running Club,$175 (including a half marathon training plan),misc,175,diarist
329,16,Car Insurance,"$100 (I'm still on my mom's plan, but I pay her every month.)",auto,100,diarist
330,16,Spotify,$10.99,entertainment,10.99,diarist
331,16,Netflix,$7.99 (I cover it for my sister and me.),entertainment,7.99,diarist
332,16,ACLU,$20,charity,20,diarist
333,16,Planned Parenthood,$20,charity,20,diarist
334,16,Savings,"$~600 (I have an automatic deduction every payday of $300, but sometimes I have to reduce that to $200.)",savings,600,diarist
335,16,Piano Lessons,$15/week,misc,60,diarist
336,17,Occupation,Assistant Surgeon & Full-Time PhD Student,occupation,assistant surgeon & full-time phd student,diarist
337,17,Industry,Medicine,industry,medicine,diarist
338,17,Age,31,age,31,diarist
339,17,Location,"Melbourne, Australia",location,"melbourne, australia",diarist
340,17,Salary,"$91,972",salary,91972,diarist
341,17,Rent,"$493 (My boyfriend and I are living with my mum right now, as we have purchased an off-the-plan apartment that will be finished at the end of the year and are trying to save before we move.)",rent,493,diarist
342,17,Taxes,"I set aside 40% of my income for taxes (this overestimates how much I owe, so the rest is savings.)",misc,,diarist
343,17,Phone,$89.46,utilities,89.46,diarist
344,17,Netflix & Stan,$18.95,entertainment,18.95,diarist
345,17,Gym Membership,$84.91,gym,84.91,diarist
346,17,Car Insurance & Registration,$107.40,auto,107.4,diarist
347,17,Health Insurance,$162.23,health insurance,162.23,diarist
348,17,PublicTransportation,$37.91,misc,37.91,diarist
349,17,Zoo Membership,$5.30,misc,5.3,diarist
350,18,Occupation,Partner Manager,occupation,partner manager,diarist
351,18,Industry,Tech,industry,tech,diarist
352,18,Age,31,age,31,diarist
353,18,Location,Singapore,location,"singapore, singapore",diarist
354,18,Salary,"$77,088, plus another 15-20% in bonus. I also get equity as part of my annual package.",salary,77088,diarist
355,18,Paycheck Amount (Monthly),"$6,424 (This is pretax, as there isn't tax withholding in Singapore.)",monthly paycheck,6424,diarist
356,18,Rent,$748.50 (I live with one roommate.),rent,748.5,diarist
357,18,Monthly Loan Payment,"$562, for an investment property with friend. We rent it, but it's a renters' market.",misc,562,diarist
358,18,Central Provident Fund (Government Retirement Fund),"$1,285 (My company matches $1,092.)",savings,1285,diarist
359,18,Taxes,$824 (I pay monthly.),misc,824,diarist
360,18,Cellphone,$30 for my personal phone. (I have another phone that's covered by work.),utilities,30,diarist
361,18,Netflix,$5.24 (I split with my roommate.),entertainment,5.24,diarist
362,18,Spotify,$0 (I'm on a family plan.),entertainment,0,diarist
363,18,Monthly Investment Account,$378,savings,378,diarist
364,18,Dance Studio Membership,$112,gym,112,diarist
365,18,Bouldering Gym,$28.50,gym,28.5,diarist
366,18,Transport Card,$30-40,misc,35,diarist
367,18,Bone Marrow Foundation Donation,$45,charity,45,diarist
368,18,Other Investment Account,"$9,131 annually",savings,9131,diarist
369,19,Occupation,Gameplay Engineer,occupation,gameplay engineer,diarist
370,19,Industry,Video Games,industry,video games,diarist
371,19,Age,34,age,34,diarist
372,19,Location,San Francisco,location,"san francisco, CA",diarist
373,19,Salary,"$114,500",salary,114500,diarist
374,19,Paycheck Amount (Biweekly),"$1,922",monthly paycheck,3844,diarist
375,19,Rent,"$2,095 (I live alone in a rented one-bedroom apartment.)",rent,2095,diarist
376,19,Student Loan Payment,$0 (I paid for college mostly by myself.),student loan,0,diarist
377,19,Netflix,$10.99,entertainment,10.99,diarist
378,19,Hulu,$11.99,entertainment,11.99,diarist
379,19,Pandora,$3.99,entertainment,3.99,diarist
380,19,Spotify,$9.99,entertainment,9.99,diarist
381,19,Cell Phone,$83.56,utilities,83.56,diarist
382,19,Internet,$49.99,utilities,49.99,diarist
383,19,Electricity,~$35,utilities,35,diarist
384,19,401(k),"$1,409 (15% of salary before tax)",savings,1409,diarist
385,19,ESPP (Employee Stock Purchase Plan),$880,savings,880,diarist
386,19,Medical Insurance,$92,health insurance,92,diarist
387,19,Dental Insurance,$8,health insurance,8,diarist
388,19,Vision Insurance,$10,health insurance,10,diarist
389,19,Car Insurance,$73,auto,73,diarist
390,19,Amazon Prime,$119/year,misc,119,diarist
391,20,Occupation,Project Coordinator,occupation,project coordinator,diarist
392,20,Industry,Fashion,industry,fashion,diarist
393,20,Age,33,age,33,diarist
394,20,Location,New York City,location,"new york, NY",diarist
395,20,Salary,"$32,084",salary,32084,diarist
396,20,Paycheck Amount (Weekly),$617.23,monthly paycheck,2468.92,diarist
397,20,Housing,$500. (My portion of the maintenance for the co-op my fiancé owns that we live in.),misc,500,diarist
