,diary_index,title,value
71,3,Line Of Credit Payment,"$300-400 (I was careless with credit cards in the past, but I recently opened a line of credit with my bank that has a lower interest rate than my credit card, so I transferred the outstanding amount to the LOC. I have around $3,000 left to pay.)"
72,3,Investments,"~$60 (I use Acorns and have a recurring investment, plus I have it set up to round up my purchases.)"
73,3,Coworking Space,$35
74,3,Phone,$0 (My work covers the phone and bill.)
75,3,Pet Health Plan,$26 (I split the $52 fee with my boyfriend.)
76,3,Gym,$10
77,3,Feminine Care,$9 (I get Cora tampons every month.)
78,3,Netflix,"$0 (Thanks, Sister!)"
79,3,Spotify,$9.99
80,3,Sirius XM radio,$10.99
81,3,Savings,"$400-1,000, depending on my income for the month"
82,3,Quip Toothbrush Subscription,"$10, every three months"
83,4,Occupation,Stylist
84,4,Industry,Fashion Sales
85,4,Age,30
86,4,Location,"Los Angeles, CA"
87,4,Salary,"$36,400"
88,4,Paycheck Amount (2x/month),"$1,100, plus monthly bonus"
89,4,Rent,"$1,349 (Split evenly with my boyfriend)"
90,4,Student Loan Payment,$117
91,4,Cell Phone,$110
92,4,Cable & Internet,$74.94 (Split evenly with my boyfriend)
93,4,Car Insurance,$0 (My parents generously still take care of this for me.)
94,4,Electric & Gas,"~$50, included in our monthly housing bill"
95,4,Netflix,$0 (We use my boyfriend's parents' account.)
96,4,Hulu,$7.99
97,4,Apple Music,$9.99
98,4,iCloud Storage,$0.99
99,4,Book Of The Month Subscription,$14.99
100,4,Imperfect Produce Subscription,~$60 (boyfriend pays)
101,4,"Health, Vision & Dental Insurance",$0 (covered by my employer)
102,4,Savings,"~$60 (I recently started using the Digit app. I also have $5,582 in my 401(k) plan from my previous employer. My current employer does not match contributions, so I'm waiting until I earn a little more monthly to start retirement savings again.)"
103,4,Credit Card,~$400 (working to pay off my debt ASAP)
104,5,Occupation,Guest English Teacher
105,5,Industry,Education
106,5,Age,24
107,5,Location,"Daejeon, South Korea"
108,5,Salary,"$25,000, plus a bonus at the end of my contract"
109,5,Paycheck (Monthly),"$2,000"
110,5,Additional Tutoring & After-School Class Income,~$500
111,5,Rent,"$0 (Per my contract, my employer pays my rent, which is about $375/month.)"
112,5,Student Loan Payment,"$1,297.67 in federal loans. (Some are in my name, some are in my parents' names, but it's all my responsibility.)"
113,5,Health Insurance,"I have national health insurance, which covers general doctors, dentists, and optometrists. Half of the cost is covered by my employer, and the other half (about $30) is deducted from my income."
114,5,Phone,$38
115,5,Internet,$0 (It's included in my rent.)
116,5,School Lunches,~$60
117,5,Utilities,$50-$80
118,5,Building Maintenance Fee,~$35
119,5,Netflix,"$0 (Thanks, Dad.)"
120,5,Savings,$100 (If I'm good that month!)
121,6,Occupation,Part-Time Attorney
122,6,Industry,Law
123,6,Age,32
124,6,Location,"Central Valley, CA"
125,6,MySalary,"$75,000"
126,6,My Husband's Salary,"$90,000"
127,6,My Paycheck Amount (Monthly),"$6,100"
128,6,MyHusband's Paycheck Amount (Biweekly),"$2,021"
129,6,Mortgage,"$1,590, including property taxes and insurance, for our three-bedroom/two-bathroom home on a half-acre lot"
130,6,Student Loan Payment,"$0 (We paid off $233,000 in combined student loans.)"
131,6,Childcare,"$1,700"
132,6,Utilities,"$580, including home services like pool cleaning, etc."
133,6,Auto/Umbrella Policy,$130
134,6,Internet & Phones,$127
135,6,Husband's Union Dues,$66
136,6,Recurring Monthly Donation,$25
137,6,Medical Insurance Premiums,$425
138,6,Husband's Pension Contribution,$990
139,6,Daycare & Health Flex Savings Accounts,$460 (deducted from my husband's paycheck)
140,6,Amazon Prime,$99/year
141,6,Credit Card Annual Fees,$600/year
142,6,Recurring Freelance Expenses,"$1,300/year"
143,7,Occupation,Program Director
144,7,Industry,Public Health
145,7,Age,29
146,7,Location,"New York, NY"
147,7,Salary,"$106,000"
148,7,Paycheck Amount (2x/month),"$2,444"
149,7,Rent,"$1,000. (Luckily, I split the rent with bae.)"
150,7,Student Loan Payment,"$500 to a bunch of student loans, some of which are consolidated."
151,7,Health Insurance,$33.70
152,7,Gym membership,$165
153,7,Netflix,$12
154,7,Spotify,$14
155,7,Metrocard,$120
156,7,403(b),$83.34
157,8,Occupation,Marketing Data Analyst
158,8,Industry,Insurance
159,8,Age,24
160,8,Location,"Boston, MA"
161,8,Salary,"$79,000"
162,8,Paycheck (Biweekly),"$1,944"
163,8,Airbnb Income (Monthly),"~$2,500"
164,8,Rent,"$2,000 (My roommate moved out unexpectedly, so I now list my place on Airbnb.)"
165,8,Student Loan Payment,$0 (I was lucky enough to get scholarships throughout college.)
166,8,Health Insurance,$65 (taken out of my paycheck)
167,8,Gym,$175
168,8,401(k),$243 (taken out of my paycheck)
169,8,Savings,"I just put whatever I have left at the end of the month into my various savings accounts. I currently have $54,000 saved, and I'm planning on buying a home within the next year."
170,8,Charity Donation,I donate 10% of my income to a couple charities (climate change and food security-related)
171,8,Roth IRA,"$3,200 (at the end of the year)"
172,9,Occupation,Graphic Designer
173,9,Industry,Creative/Advertising
174,9,Age,25
175,9,Location,"Salt Lake City, UT"
176,9,Salary,"$50,000"
177,9,Paycheck Amount (2x/month),"$1,550"
178,9,Rent,"$800 for my half (I live in a two-bedroom, two-bathroom apartment with my boyfriend.)"
179,9,Student Loan Payment,$0 (I finished paying off my student loans last fall.)
180,9,Health Insurance,$80 (taken out of my paycheck)
181,9,Gas & Electric,"$15-50 for my half, depending on the season"
182,9,Internet,$50
183,9,Parking,$25
184,9,Auto Insurance,$111
185,9,Cell Phone,$58
186,9,Adobe Creative Cloud Membership,$32
187,9,Acorns App,$10
188,9,401(k),$125
189,9,Roth IRA,$100
190,9,Savings,$415
191,9,Bike Share Annual Pass,: $75/year
192,10,Occupation,Assistant Director
193,10,Industry,College Athletics
194,10,Age,25
195,10,Location,"Norman, OK"
196,10,Salary,"$38,000"
197,10,Paycheck Amount (2x/month),"$1,133.42 (I'm currently also earning overtime, so my paycheck varies by $100-$400.)"
198,10,Rent,$685 for a one-bedroom on a golf course
199,10,Monthly Loan Payments,"$459.86 (I have $40,000 in loans to pay off from undergrad. I went to school out of state and did not have a huge college fund.)"
200,10,"Health, Dental & Vision Insurance",$303.75
201,10,Internet,$40
202,10,Sling TV,$29.99
203,10,Spotify,$9.99
204,10,Utilities,"~$100 (It varies, depending on my work travel schedule.)"
205,10,Car Insurance,$115
206,10,Car Payment,"$366.82 (I didn't want to have a car payment right now, but my car broke down on me and was basically totaled, so I didn't really have a choice.)"
207,10,Ashley Furniture,$108.50
208,10,Netflix,"$0 (Thanks, Mom and Dad!)"
209,11,Occupation,Video Editor
210,11,Industry,Film & Television
211,11,Age,29
212,11,Location,"Los Angeles, CA"
213,11,MySalary,"$135,000"
214,11,My Paycheck (Biweekly),"$3,650"
215,11,My Husband's Salary,"$105,000 (We got married late last year and haven't combined our finances through a joint account or anything yet. We keep our accounts separate, but split a lot of expenses or trade off paying for things.)"
216,11,My Husband'sPaycheck (Monthly),"$6,000"
217,11,Rent,"$3,100 (split with my husband)"
218,11,Student Loan Payment,$0 (I'm really grateful that my parents paid for school.)
219,11,"Health, Vision & Dental Insurance",$0 (PPO insurance is included in my union dues.)
220,11,Internet,$70 for crap internet
221,11,Utilities,$0 (husband pays)
222,11,Netflix,"$11 (I pay for Netflix, and my husband pays for HBO.)"
223,11,Credit Monitoring Service,"$20 (I had my identity stolen years ago, so I'm extra careful.)"
224,11,Roth IRA,"$300 (I don't have a 401(k) option through work since we have a union, and the company pays into my union pension.)"
225,11,Orangetheory,$129 for eight classes
226,11,Gym,$20
227,11,Planned Parenthood Donation,$15
228,11,ACLU Donation,$15
229,11,NPR Donation,$10
230,11,Subscription,$10.50
231,11,Car Payment,$0 (It's paid off!)
232,11,Auto & Renter's Insurance: $,150
233,11,Savings,"$1,000"
234,11,Union Dues,"$170, quarterly"
235,11,Amazon Prime,$100/year (My husband shares my account.)
236,12,Occupation,Teacher
237,12,Industry,Education
238,12,Age,32
239,12,Location,"Conroe, TX (north of Houston)"
240,12,MySalary,"$54,000"
241,12,My Husband's Salary,"$67,000"
242,12,MyPaycheck Amount (2x/month),"$1,674"
243,12,My Husband's Paycheck Amount (2x/month),"$2,250"
244,12,Mortgage,"$1,687 (This includes homeowner's insurance and property taxes.)"
245,12,Student Loan Payment,"$0 (My college was covered by scholarships, and my husband's parents paid for his undergrad.)"
246,12,Car Payment,$0 (Both of our cars are paid off.)
247,12,Health Insurance,"$148 for me, and my husband's employer covers his medical insurance"
248,12,Dental Insurance,"$16 for me, and my husband's employer covers his dental insurance"
249,12,Electric Bill,$50-100
250,12,Gas Bill,$20-50
251,12,"Water, Sewer & Trash",$150-200
252,12,Cable & Internet,$165
253,12,Car Insurance,$124
254,12,Cell Phone,"$53 (I share a plan with my twin sister. My husband's parents inexplicably still pay for his, but he tries to pay them back in other ways.)"
255,12,Netflix,$12
256,12,Retirement,"$348.40 to the Teacher Retirement System, a pension that public school employees pay into instead of paying into Social Security. And my husband contributes $415 to his retirement fund."
257,12,Savings & Investments,"$2,000-2,500, deposited into a brokerage account. (We try to save at least $20,000 a year, but we didn't meet that goal last year because we bought our home.)"
258,12,Prescriptions,$15
259,12,Subscription,$3
260,12,Costco Membership,$60/year
261,12,Lawn service,$174 (4x/year)
262,12,HOA,"$1,025/year"
263,12,Pest Control,$96 (6x/year)
264,13,Occupation,Corporate Accounting Manager
265,13,Industry,Manufacturing
266,13,Age,31
267,13,Location,"St. Paul, MN"
268,13,MySalary,"$95,000"
269,13,My Husband's Salary,"$70,000"
270,13,Paycheck Amount (2x/month),"$2,866"
271,13,My Husband's Paycheck Amount (2x/month),"$1,831"
272,13,Mortgage,"$2,145 (includes P&I, HO insurance, property taxes, and flood insurance)"
273,13,Car Loan Payment,$325
274,13,Student Loan Payment,"$0 (Mine are paid off, and my husband's education was paid by the GI Bill.)"
275,13,"Electric, Gas, Garbage & Water",~$200
276,13,Internet,$69
277,13,Life Insurance,$292 (includes a combination of whole life with cash value and term)
278,13,Car Insurance,$180 (for both cars)
279,13,Netflix,$12
280,13,Hulu,$10
281,13,Preschool/Childcare,"$1,200 (for two children)"
282,13,HSA,$100 (My employer covers premiums and contributes $120.)
283,13,401(k),"6% of my salary (employer matches 3%), and same goes for my husband"
284,13,Savings,"$1,000 automatic transfers into a brokerage account. (We keep around $50,000 in checking and savings accounts for liquid savings, travel, and home improvement projects.)"
285,13,MyDaughters' Savings Accounts,"$100 into each daughter's account, in addition to any money they receive as gifts. (I want to switch these over to education savings plans, but have not done so yet.)"
286,14,Occupation,Senior Analyst
287,14,Industry,Legal & Regulatory
288,14,Age,30
289,14,Location,New York City
290,14,Salary,"$99,000, with a 10% annual bonus"
291,14,Paycheck Amount (Biweekly),"$2,104.57"
292,14,Rent,"$1,100 (I live with my boyfriend of six years, and we split our rent and shared expenses proportionate to our salaries. The total rent for our one-bedroom duplex in Manhattan is $2,900.)"
293,14,Student Loan Payment,"$0 (My parents covered undergrad, and I worked full-time while completing my master's degree.)"
294,14,MetroCard,$121 (taken out of my paycheck pre-tax)
295,14,"Health, Dental & Vision Insurance",$120
296,14,Retirement,"$410 (6% of my salary, with a 5% corporate match)"
297,14,"Electricity, Gas, & Internet",~$140 (split with my boyfriend)
298,14,Cleaning Service,$115 (split with my boyfriend)
299,14,"Hulu, Netflix, HBONow, & Spotify","$50 (I'm still on my family's cell plan, and in exchange I give my family access to all of my subscriptions.)"
300,14,Stitch Fix,$20 (every 6 weeks)
301,15,Occupation,Digital Marketing Specialist
302,15,Industry,Furniture
303,15,Age,22
304,15,Location,"Petaluma, CA"
305,15,Salary,"$65,000"
306,15,Paycheck Amount (Biweekly),"$1,873"
307,15,Rent,"$1,425 (I split the rent with my boyfriend.)"
308,15,Student Loan Payment,$0 (My parents paid my college tuition in full.)
309,15,Car Loan Payment,$125 (I split the car loan with my boyfriend.)
310,15,"Health, Dental & Vision Insurance",$85
311,15,Gas & Electric,"$100 (If it's more than $100, my boyfriend pays the rest.)"
312,15,Water,$65
313,15,Garbage,$17
314,15,Spotify,$5 (I'm still using a student account.)
315,15,Internet,$0 (My boyfriend pays.)
316,15,Netflix,$0 (We use my dad's account.)
317,15,Car Insurance,"~$1,000 (paid once a year)"
318,16,Occupation,Program Manager
319,16,Industry,Nonprofit
320,16,Age,25
321,16,Location,Upstate New York
322,16,Salary,"$31,200"
323,16,Paycheck Amount (2x/month),$941
324,16,Rent,"$400 for my half. (I live in my friend's five-bedroom farmhouse on 82 acres, which is mostly forest.)"
325,16,Student Loan Payment,$0 (I was an AmeriCorps volunteer for two years.)
326,16,Utilities,"~$30 (It depends on the month. We don't have A/C, and we heat the house using a wood stove. We supply the wood from the land we live on.)"
327,16,Phone Bill,$80 (I have unlimited data and a hot spot. We can't get Internet at the house — we're pretty remote.)
328,16,Running Club,$175 (including a half marathon training plan)
329,16,Car Insurance,"$100 (I'm still on my mom's plan, but I pay her every month.)"
330,16,Spotify,$10.99
331,16,Netflix,$7.99 (I cover it for my sister and me.)
332,16,ACLU,$20
333,16,Planned Parenthood,$20
334,16,Savings,"$~600 (I have an automatic deduction every payday of $300, but sometimes I have to reduce that to $200.)"
335,16,Piano Lessons,$15/week
336,17,Occupation,Assistant Surgeon & Full-Time PhD Student
337,17,Industry,Medicine
338,17,Age,31
339,17,Location,"Melbourne, Australia"
340,17,Salary,"$91,972"
341,17,Rent,"$493 (My boyfriend and I are living with my mum right now, as we have purchased an off-the-plan apartment that will be finished at the end of the year and are trying to save before we move.)"
342,17,Taxes,"I set aside 40% of my income for taxes (this overestimates how much I owe, so the rest is savings.)"
343,17,Phone,$89.46
344,17,Netflix & Stan,$18.95
345,17,Gym Membership,$84.91
346,17,Car Insurance & Registration,$107.40
347,17,Health Insurance,$162.23
348,17,PublicTransportation,$37.91
349,17,Zoo Membership,$5.30
350,18,Occupation,Partner Manager
351,18,Industry,Tech
352,18,Age,31
353,18,Location,Singapore
354,18,Salary,"$77,088, plus another 15-20% in bonus. I also get equity as part of my annual package."
355,18,Paycheck Amount (Monthly),"$6,424 (This is pretax, as there isn't tax withholding in Singapore.)"
356,18,Rent,$748.50 (I live with one roommate.)
357,18,Monthly Loan Payment,"$562, for an investment property with friend. We rent it, but it's a renters' market."
358,18,Central Provident Fund (Government Retirement Fund),"$1,285 (My company matches $1,092.)"
359,18,Taxes,$824 (I pay monthly.)
360,18,Cellphone,$30 for my personal phone. (I have another phone that's covered by work.)
361,18,Netflix,$5.24 (I split with my roommate.)
362,18,Spotify,$0 (I'm on a family plan.)
363,18,Monthly Investment Account,$378
364,18,Dance Studio Membership,$112
365,18,Bouldering Gym,$28.50
366,18,Transport Card,$30-40
367,18,Bone Marrow Foundation Donation,$45
368,18,Other Investment Account,"$9,131 annually"
369,19,Occupation,Gameplay Engineer
370,19,Industry,Video Games
371,19,Age,34
372,19,Location,San Francisco
373,19,Salary,"$114,500"
374,19,Paycheck Amount (Biweekly),"$1,922"
375,19,Rent,"$2,095 (I live alone in a rented one-bedroom apartment.)"
376,19,Student Loan Payment,$0 (I paid for college mostly by myself.)
377,19,Netflix,$10.99
378,19,Hulu,$11.99
379,19,Pandora,$3.99
380,19,Spotify,$9.99
381,19,Cell Phone,$83.56
382,19,Internet,$49.99
383,19,Electricity,~$35
384,19,401(k),"$1,409 (15% of salary before tax)"
385,19,ESPP (Employee Stock Purchase Plan),$880
386,19,Medical Insurance,$92
387,19,Dental Insurance,$8
388,19,Vision Insurance,$10
389,19,Car Insurance,$73
390,19,Amazon Prime,$119/year
391,20,Occupation,Project Coordinator
392,20,Industry,Fashion
393,20,Age,33
394,20,Location,New York City
395,20,Salary,"$32,084"
396,20,Paycheck Amount (Weekly),$617.23
397,20,Housing,$500. (My portion of the maintenance for the co-op my fiancé owns that we live in.)
398,20,Student Loan Payment,"$0. (I decided to go to college in my mid-20s, and I haven't started paying loans back yet.)"
399,20,Tuition Payment Plan,$400.17
400,20,ConEd,$65. (Varies slightly by month and season.)
401,20,Internet,$49.99
402,20,Netflix,$10.99
403,20,Hulu,$11.99
404,20,Lola Tampon Subscription,$8-16. (Depends on the month and if I have any left over last month.)
405,20,Vitamins from Ritual,$32
406,20,Weekly Metrocard,$35
407,21,Occupation,Copywriter
408,21,Industry,Marketing
409,21,Age,24
410,21,Location,"Detroit, Michigan"
411,21,Salary,"$38,000"
412,21,Paycheck Amount (2x/month),"$1,142.58"
413,21,Rent,"$360. (I live in a three-bedroom duplex with one roommate, and we split the $720 rent equally.)"
414,21,Student Loan Payment,$350
415,21,Utilities,~$100
416,21,Health Insurance,$0. (Staying on my stepmom's until I'm 26.)
417,21,Phone Bill,$0. (My dad's work has covered our family's phone bill for as long as I can remember.)
418,21,Wifi,$15
419,21,401(k),$175
420,21,Car Insurance,"$0. (My dad pays right now. I'm saving up to buy a more reliable, “adult” car this fall, at which point I'll be taking over my insurance for good.)"
421,21,Spotify,$9.99
422,21,Gym,$9.99
423,21,Netflix/Hulu,$0. (I'm that mooch friend everyone has.)
424,21,Savings,"~$500. (My boyfriend and I are aiming to buy a small building in Detroit in two to three years, and then renovate it into a living/work space. He is a ceramist, and many Detroit artists have been buying abandoned buildings and converting them into living/work spaces, community studios, and galleries.)"
425,22,Occupation,Travel Registered Nurse
426,22,Industry,Healthcare
427,22,Age,23
428,22,Location,Southern New Hampshire
429,22,Salary,"$60,000-$85,000, depending on my travel assignment"
430,22,Paycheck Amount (Weekly),$1500
431,22,Rent,$0 (I live with family when I travel.)
432,22,Student Loan Payment,$1550
433,22,Phone Bill,$63
434,22,Car Insurance,$88
435,22,Health Insurance,$0 (I'm still on my parents' plan.)
436,22,Netflix,I use my brother's account.
437,22,Doctor Bill,"$20 (I go to a holistic primary care physician, so I pay monthly and get acupuncture, hypnosis, and unlimited sick visits.)"
438,22,EZ-Pass,~$40 (I drive through New England frequently and pass a lot of tolls.)
439,22,Paycheck Allocation,"~40% into my checking account, which I use for my loans; ~25% into my savings account; ~17.5 % in my personal checking, which I use for everyday spending and monthly payments; ~17.5% into a savings account I have with my fiancé for our wedding and our future."
440,23,Occupation,Copywriter
441,23,Industry,Advertising
442,23,Age,22
443,23,Location,"Chicago, IL"
444,23,Salary,"$42,000"
445,23,Paycheck Amount (Biweekly),"$1,210"
446,23,Gender Identity,Fluid
447,23,Rent,$675
448,23,Student Loan Payment,$275
449,23,Health & Dental Insurance,$0 (I'm on my dad's.)
450,23,Transportation,$105 for a 30-day unlimited pass
451,23,Internet,$18 (Split three ways with my roommates.)
452,23,Utilities,$75
453,23,Phone,"$0 (Thanks, Mom and Dad.)"
454,24,Occupation,Key Account Specialist
455,24,Industry,Apparel Manufacturing & Marketing
456,24,Age,32
457,24,Location,"Vancouver, BC"
458,24,Salary,"$39,500"
459,24,Paycheck Amount (2x/month),"$1,177"
460,24,Mortgage,$630 (I live in a two-bedroom condo with my two wolf huskies.)
461,24,Student Loan Payment,$0 (I went to community college and paid for it out of pocket.)
462,24,Condo Strata Fee,$292
463,24,Phone Bill,$65
464,24,Internet & Cable,$113
465,24,Spotify & Netflix,$16.50
466,24,Lash Treatment,$220 for 2x/month
467,24,Office Breakfast Program,$24
468,24,Electricity,$40
469,24,Dog Expenses,$120
470,24,Car Expenses,$155
471,24,BCSPCA (Charity),$27
472,25,Occupation,Communication Specialist
473,25,Industry,Higher Education
474,25,Age,26
475,25,Location,"Boston, MA"
476,25,Salary,"$47,000"
477,25,Paycheck Amount (Weekly),$561
478,25,Monthly Housing Costs,"$1,042.50 for my half. (I live with one roommate.)"
479,25,Student Loan Payments,"$0 (I'm deferring my undergrad loans right now, but I have around $7,500 left to pay off.)"
480,25,Health Insurance,$140
481,25,Dental Insurance,$16
482,25,Car & Renter's Insurance,$140
483,25,401(k),$70
484,25,403b,$240
485,25,Work Parking Spot,$17
486,25,FSA,$10
487,25,Phone,$65
488,25,Spotify,$6
489,25,ClassPass,$15
490,25,Wifi,$27.89
491,25,Electricity,~$15
492,26,Occupation,Programmer
493,26,Industry,Tech
494,26,Age,23
495,26,Location,"New York, NY"
496,26,Salary,"$70,000"
497,26,Paycheck Amount (2x/month),"$1,955"
498,26,Rent,"$1,250 for a studio. (I knew someone who knew someone, and got a great deal.)"
499,26,Student Loan Payment,$0 (My parents helped fund my education.)
500,26,Health Insurance,"$0 (The health insurance through my work is terrible and expensive, so I'm on my parents' plan.)"
501,26,Electricity,~$100
502,26,Internet,$15
503,26,Spotify,$9.99
504,26,Phone,$0 (I'm on my parents' plan.)
505,26,MetroCard,$121 for 30 days unlimited
506,26,Therapy,$160
507,26,Savings,"~$500-$1,000 (I put in whatever I have leftover every month.)"
508,26,Cleaning Service,"$60, every other week"
509,27,Occupation,Assistant Language Teacher
510,27,Industry,Education
511,27,Age,25
512,27,Location,"Niigata, Japan"
513,27,Salary,"$32,780.92"
514,27,Paycheck Amount (Monthly),"$2,731"
515,27,Rent,$370
516,27,Health Insurance,$123.53
517,27,Welfare Pension,$233.3o
518,27,Car Rental,$318.92 (includes insurance and regular maintenance)
519,27,Utilities,$54.98
520,27,Internet,$54.98
521,27,Phone Bill,$41
522,27,Netflix,$10.99
523,27,Spotify,$8.92
524,27,Monthly Lunch Bill,~$40
525,28,Occupation,Human Resources Manager
526,28,Industry,Pharmaceuticals
527,28,Age,30
528,28,Location,"San Diego, CA"
529,28,Salary,"$112,500"
530,28,Paycheck Amount (2x/month),"$2,759 (after employee stock and medical deductions)"
531,28,Mortgage,"$2,250, plus the $300 HOA fee. (My sister lives with me and pays $400/month.)"
532,28,Student Loan Payment,$455
533,28,"Car Payment, Insurance & Phone",$350
534,28,Internet & Cable,$0 (My sister pays this.)
535,28,Netflix,$10.99
536,28,Wine Membership,$32.50 for my portion. (I split with a friend.)
537,28,ClassPass,$50
538,28,Savings,I put in whatever I have leftover at the end of the month. I'm rebuilding my savings after buying my place.
539,28,CSA Box,$35/week
540,29,Occupation,Associate Clinical Research Coordinator
541,29,Industry,Health Care
542,29,Age,26
543,29,Location,"New Orleans, LA"
544,29,Salary,"$37,000"
545,29,Paycheck Amount (Biweekly),$917.72
546,29,Rent,$800 for my half (I live with my boyfriend and we split the rent evenly.)
547,29,Student Loan Payment,"$197.58, from undergrad and grad school. (I have an income-based repayment plan.)"
548,29,Apple Music,$4.99
549,29,Netflix,$0 (I use my parents' account.)
550,29,Phone Bill,"$0 (I'm on my parents' family plan, which they still pay for.)"
551,29,Le Tote,$64
552,29,Book of the Month Club,$14.99
553,29,Gas & Electric,~$140 split evenly with my boyfriend. (We're signed up for level billing but it fluctuates a little.)
554,29,Cable & Internet,"$117.34, split evenly with my boyfriend"
555,29,401(k),"$56.96, deducted from each paycheck pre-tax"
556,29,403b,"$56.96, deducted from each paycheck pre-tax"
557,29,Dental Insurance,$7.10
558,29,Flex Spending Account,"$29.81, deducted from each paycheck pre-tax"
559,29,Health Insurance,"$89.10, deducted from each paycheck pre-tax"
560,29,Vision insurance,"$3, deducted from each paycheck pre-tax"
561,29,Long-term Disability Insurance,"$10.28, deducted from each paycheck pre-tax"
562,29,Term life insurance,"$1.09, deducted from each paycheck pre-tax"
563,29,Other Savings,"I use Digit, which withdraws random small amounts from my personal checking account."
564,30,Occupation,Office Manager
565,30,Industry,Architecture
566,30,Age,27
567,30,Location,"Los Angeles, CA"
568,30,Salary,"$55,000"
569,30,Additional Income,"$500/month from my parents, for the time being. I am extremely grateful for this."
570,30,Paycheck Amount (2x/month),"$1,767"
571,30,Rent,"$1,756 (I live in a small one-bedroom “affordable housing” apartment. $150 parking fee is included.)"
572,30,Internet,$49.99
573,30,Electricity,$20
574,30,Gas & Water,$0 (Covered by my landlord.)
575,30,Cell Phone,$100
576,30,Car Insurance,$72
577,30,"Medical, Vision & Dental Insurance",$0 (Covered in full by my employer.)
578,30,Netflix,$10.99 (I share my account with my entire family and then some.)
579,30,Pandora,$4.99
580,30,Apple Cloud Storage,$1.99
581,30,"HBO, Showtime & Firestick",$0 (I use my parents' logins.)
582,30,Hulu,$0 (I use an old roommate's account.)
583,30,Costco,$0 (I'm on my parent's business account.)
