mn_exp_amt,mn_exp_rawtext,diary_index
85.0,Car Insurance,12
176.0,Internet & Cable,12
17.0,Dog Poop Cleaner,12
0.0,Netflix,12
29.0,Gym Membership,12
300.0,Savings:  I try to put in,12
1000.0,Rent,13
0.0,Student Loan Payment,13
0.0,"Health, Dental & Vision Insurance",13
0.0,"Netflix, Spotify & Amazon Prime",13
0.0,Cell Phone,13
0.0,Transportation,13
1475.0,,13
75.0,Gym Membership,13
2000.0,Investment Portfolio,13
2000.0,House Down Payment Account,13
1341.0,Rent,14
0.0,Student Loan Payment,14
50.0,Monthly Transit Pass,14
0.0,Health Insurance,14
10.99,Netflix,14
18.0,Trash,14
5.99,Amazon Prime,14
52.0,Wifi,14
40.0,Gym,14
50.0,Phone Bill,14
1000.0,Savings:  ~,14
1641.0,Rent,15
0.0,Student Loan Payment,15
52.88,Internet,15
41.55,Electricity,15
25.69,Gas,15
25.69,Water,15
7.55,Netflix,15
50.62,Car Registration,15
72.11,Car insurance,15
52.88,Phones,15
150.0,Savings,15
1422.5,Rent,16
0.0,Student Loan Payment,16
22.08,Dental Insurance,16
1550.0,,16
0.0,MetroCard,16
0.0,Health & Vision Insurance,16
16.0,Internet,16
15.0,for my share Utilities,16
20.0,-,16
0.99,for my share iCloud,16
50.0,Gym,16
0.0,Netflix,16
0.0,Hulu,16
4.99,(My sister is still a student and gets the,16
700.0,Company Stock Plan,16
1350.44,Rent,17
0.0,Student Loan Payment,17
58.41,Superannuation:  9.5% of each of our pre-tax salaries Phone Bill,17
46.73,Internet,17
11.68,Dropbox,17
10.9,Netflix,17
75.54,Private Health Insurance,17
301.02,Life Insurance,17
186.88,and,17
155.76,", for me and my husband Savings:  At least",17
350.46,Novated Car Lease Payment,17
6.93,Zoo Annual Membership,17
775.0,Rent,18
115.96,Health Insurance,18
90.0,", taken out of my paycheck Student Loan Payment",18
0.0,Phone Bill,18
55.0,"Utilities, Water & Electricity",18
9.99,Spotify,18
7.0,ZipCar,18
60.0,Gym,18
10.0,Planned Parenthood Donation,18
49.0,Advertisement Additional Expenses Amazon Prime,18
400.0,Rent,19
0.0,Health Insurance,19
180.0,"Gas, Electric & Internet",19
186.0,Car Insurance,19
250.0,IRS Tax Payment For 2016,19
300.0,Credit Card,19
9000.0,. (I have about,19
20.0,Roth IRA:  I try to contribute between,19
50.0,-,19
780.0,Rent,20
80.0,S tudent Loan Payment,20
210.0,Car Lease Payment,20
120.0,Credit Card Debt,20
0.0,Health Insurance,20
8.0,Hulu Subscription,20
11.0,Spotify,20
10.0,Ipsy Subscription,20
40.0,ClassPass,20
115.0,-,20
40.0,. (Depending on the month. I'll usually go for the,20
10.0,MoviePass,20
300.0,Savings:  ~,20
300.0,. (,20
0.0,Rent,21
1353.0,Student Loan Payment,21
203.0,"(I took out student loans, for which I pay",21
1150.0,"/month. My parents took out parent-plus loans under their name for my education, and I'm paying them back at",21
19.99,Creative Cloud,21
4.99,Apple Music,21
0.0,Cell Phone,21
0.0,Car Payment/Insurance,21
0.0,Health Insurance,21
100.0,Savings,21
200.0,-,21
500.0,Credit Card,21
1500.0,(I have about,21
30.0,Patreon,21
100.0,Charity,21
200.0,-,21
7.99,Hulu,21
0.0,Netflix,21
15.0,Gym Membership,21
500.0,My boyfriend and I have a joint account and each contribute,22
90.0,Utilities:  ~,22
73.0,-120 Sling TV/Hulu/HBO,22
0.0,Netflix,22
11.0,Internet,22
60.0,"(I work from home, so work covers",22
50.0,Pet Insurance,22
200.0,Shared Slush Fund,22
250.0,-,22
200.0,Additional Expenses Car Insurance,22
900.0,Rent,23
0.0,Student Loan Payment,23
0.0,Health Insurance,23
0.0,MetroCard,23
55.0,Phone,23
12.18,Internet,23
30.0,Utilities:  ~,23
0.0,Netflix,23
4.0,Apple Music,23
15.0,Gym,23
0.0,Yoga,23
15.0,Advertisement Additional Expenses Therapy,23
2156.17,Mortgage,24
2500.0,Monthly Loan Payments,24
336.0,", for student loans and vehicles. Utilities",24
95.0,Internet,24
93.0,Gym,24
11.32,Netflix,24
160.0,Prescriptions/Medical Supplies,24
25.0,Allergy Shot,24
360.0,Doggy Daycare,24
2500.0,Debt Repayment,24
600.0,Rent,25
178.0,Student Loan Payment,25
100.0,Car Loan Payment,25
75.0,Health Insurance,25
30.0,out of my paycheck Electricity,25
50.0,Phone,25
10.0,Charitable Contribution,25
0.0,"Hulu, Netflix & Spotify",25
100.0,& 457 Plans,25
9000.0,"(Between both accounts, I have about",25
500.0,Savings,25
700.0,–,25
600.0,Rent,26
0.0,Student Loan Payment,26
23.0,Gym,26
20.0,Parking,26
35.0,"Health, Dental & Vision Insurance",26
10.0,Spotify,26
130.0,Therapy,26
35.0,"per session, once or twice per month Medication",26
10.0,Renters Insurance,26
0.0,Phone Bill & Car Insurance,26
450.0,Roth IRA,26
5070.0,Mortgage,27
3000.0,", including taxes and insurance Student Loan Payment",27
320.0,"Health, Vision, Dental & Life Insurance",27
180.0,Utilities,27
132.0,Cell Phones,27
142.0,"for our family plan TV, Internet & Landline",27
10.0,Spotify,27
10.99,Netflix,27
400.0,Car Lease Payment,27
150.0,Car Insurance,27
870.0,,27
220.0,,27
1758.95,Mortgage,28
0.0,Student Loan Payment,28
50000.0,(We finished paying off our,28
3000.0,,28
161.0,Car Insurance,28
177.0,Health & Dental Insurance,28
200.0,Additional HSA contributions,28
410.0,"Cell Phones, Cable & Internet",28
215.0,Utilities,28
35.0,Pest Control,28
8.0,Hulu,28
85.0,Dog Wellness Plans,28
100.0,Monthly Cleaning Service,28
36.0,Jazzercise Membership,28
350.0,Charitable Donations,28
100.0,Advertisement Yearly Expenses Amazon Prime,28
60.0,Costco Membership,28
60.0,Thrive Market Membership,28
2965.0,Mortgage,29
0.0,Student Loan Payment,29
675.0,Car Loan Payment,29
275.0,"Savings:  10% of my salary, automatically taken from my paycheck 529 Plan",29
141.5,Advertisement Health Insurance,29
300.0,Utilities:  ~,29
225.0,plus,29
250.0,for my mom's utilities  Cell Phone,29
120.0,for unlimited data and international plan Car Insurance,29
270.0,Childcare,29
600.0,for after school &,29
475.0,savings for summer camp  Dog Walker & Dog Daycare,29
100.0,Pet Expenses,29
185.0,Horseback Riding Lessons,29
50.0,Husband's Gym Membership,29
40.0,Peloton Bike,29
15.0,Audible,29
12.99,Spotify & Hulu,29
14.99,HBO,29
9.99,Netflix,29
15.93,Adobe Creative Cloud,29
9.99,Microsoft Office,29
5.99,Funimation,29
99.0,Additional Expenses Amazon Prime,29
1115.0,Rent,30
575.0,Student Loan Payment,30
30000.0,(I have about,30
121.0,MetroCard,30
130.0,for 30 days unlimited MealPal,30
250.0,My Fiancé's Health Insurance,30
65.0,Gym Membership,30
66.0,Cable/Internet Bill,30
40.0,for my share Electricity/Gas Bill,30
10.0,for my share Hulu Plus,30
40.0,Acorn Investment Account,30
14.0,Southern Poverty Law Center Donation,30
9.99,Spotify,30
322.0,,30
300.0,Credit Card Debt,30
800.0,-,30
8000.0,depending on what I can afford. (I have about,30
584.79,Rent,31
311.0,Student Loan Payment,31
92.0,Health Insurance,31
77.0,Utilities,31
40.0,Cable & Internet,31
40.0,Phone Bill,31
66.0,Opus Card,31
42.0,Gym Membership,31
12.5,Spotify,31
0.0,Netflix,31
200.0,Savings:  At least,31
200.0,/month for travel and emergency expenses. Retirement:  ~,31
361.0,Rent,32
12.0,. (Includes,32
0.0,Student Loan Payment,32
0.0,Health Insurance,32
0.0,Transportation,32
5.8,Spotify,32
12.0,Phone Bill,32
24.0,Donation To German Relief Organization,32
35.0,Planned Parenthood Donation,32
41000.0,"Occupation:  Pediatric Nurse Industry:  Public Hospital Age:  31 Location:  Toulouse, France Salary",33
3415.0,,33
620.0,My Expenses Mortgage,33
175.0,Car Loan Payment,33
10.0,Netflix,33
20.0,My Little Box Subscription,33
250.0,,33
400.0,"House, Health & Car Insurance",33
500.0,Savings,33
120.0,My Husband's Expenses  Internet & Phone,33
80.0,Our   Daughter's Dance & Piano Lessons,33
80.0,Daughter's Childcare & Canteen Fees,33
900.0,Monthly Income Tax Installment,33
190.0,Other Taxes,33
125.0,Disneyland Paris Annual Passes,33
1500.0,for three Savings,33
493.0,Rent,34
89.46,Phone,34
18.95,Netflix & Stan,34
84.91,Gym Membership,34
107.4,Car Insurance & Registration,34
162.23,Health Insurance,34
37.91,Public   Transportation,34
5.3,Zoo Membership,34
748.5,Rent,35
562.0,Monthly Loan Payment,35
1285.0,,35
1092.0,(My company matches,35
824.0,Taxes,35
30.0,Cellphone,35
5.24,Netflix,35
0.0,Spotify,35
378.0,Monthly Investment Account,35
112.0,Dance Studio Membership,35
28.5,Bouldering Gym,35
30.0,Transport Card,35
45.0,-40 Bone Marrow Foundation Donation,35
9131.0,Additional Expenses Other Investment Account,35
2095.0,Rent,36
0.0,Student Loan Payment,36
10.99,Netflix,36
11.99,Hulu,36
3.99,Pandora,36
9.99,Spotify,36
83.56,Cell Phone,36
49.99,Internet,36
35.0,Electricity:  ~,36
1409.0,,36
880.0,,36
92.0,Medical Insurance,36
8.0,Dental Insurance,36
10.0,Vision Insurance,36
73.0,Car Insurance,36
119.0,Advertisement Additional Expenses Amazon Prime,36
500.0,Housing,37
0.0,Student Loan Payment,37
400.17,Tuition Payment Plan,37
65.0,ConEd,37
49.99,Internet,37
10.99,Netflix,37
11.99,Hulu,37
8.0,Lola Tampon Subscription,37
32.0,Vitamins from Ritual,37
35.0,Advertisement Additional Expenses Weekly Metrocard,37
360.0,Rent,38
720.0,". (I live in a three-bedroom duplex with one roommate, and we split the",38
350.0,Student Loan Payment,38
100.0,Utilities:  ~,38
0.0,Health Insurance,38
0.0,Phone Bill,38
15.0,Wifi,38
175.0,,38
0.0,Car Insurance,38
9.99,Spotify,38
9.99,Gym,38
0.0,Netflix/Hulu,38
500.0,Savings:  ~,38
1400.0,Mortgage,39
156.0,Husband's Student Loan Payment,39
300.0,Car Payment,39
145.0,Cell Phone,39
75.0,. (My company reimburses me,39
160.0,Cable & Internet,39
185.0,Car Insurance,39
140.0,for two cars Electric & Gas,39
30.0,My Husband's Gym Membership,39
125.0,My Barre Studio Membership,39
200.0,Lowe's Credit Card,39
13.99,Netflix,39
14.99,Apple Music,39
60.0,for the family plan My Son's Drum Lessons,39
112.0,My Son's Taekwondo Classes,39
275.0,"Health, Vision & Dental Insurance",39
25.0,taken out of our paychecks HSA Account,39
35.0,per paycheck Dependent Care Flex Spending Account,39
200.0,"We both contribute 6%, which is matched by our employers. Roth IRA",39
1000.0,Savings,39
1500.0,-,39
200.0,Advertisement Additional Expenses Water & Garbage,39
99.0,/quarter Amazon Prime,39
700.0,Rent,40
1000.0,Student Loan Payments:  ~,40
305.0,Car Loan Payment,40
150.0,Advertisement Utilities:  ~,40
65.0,Car Insurance,40
900.0,,40
1172.0,Savings,40
250.0,"Health, Dental & Vision Insurance",40
45.0,Cell Phone,40
0.0,"Netflix, Hulu & Spotify",40
74.0,Le Tote Subscription,40
100.0,Additional Expenses Amazon Prime,40
400.0,Massage Package,40
92.97,Chewy Dog Food & Supplies,40
1800.0,Rent,41
0.0,Student Loan Payment,41
3400.0,"Medical, Vision & Dental Insurance:  My employer contributes",41
2000.0,every year to an HSA card. I pay everything outright until I reach the,41
1000.0,Savings,41
500.0,(,41
1200.0,Credit Card,41
6000.0,. (I have,41
0.0,Cell Phone,41
1.99,Google Cloud Storage,41
71.0,,41
20.0,Electric,41
25.0,-,41
9.99,Spotify Premium,41
7.0,Squarespace,41
84.0,MealPal,41
0.0,Netflix & Hulu,41
1000.0,Rents,42
0.0,"Health Insurance:  Free, through work. Student Loan Payment",42
9.99,Spotify,42
0.0,Netflix,42
77.59,Internet/TV,42
84.5,Electricity:  My roommate covers the electric bill.  MBTA Pass,42
31.73,. (My work pays,42
1422.5,Rent,43
0.0,". (Includes underground parking. I share two-bedroom, two-bathroom apartment with a friend. Student Loan Payment",43
30.0,Health Insurance,43
6.0,"from my paycheck for medical,",43
18.5,for dental HSA,43
500.0,. (My employer matches,43
0.0,Car Loan,43
0.0,Spotify,43
0.0,Amazon Prime,43
0.0,Wall Street Journal  Subscription,43
18.0,Gym Membership,43
40.0,Wi-Fi,43
48.0,Electric,43
24.0,Water,43
50.0,Gas,43
75.0,-,43
10.0,Renters Insurance,43
72.0,,43
458.0,Roth IRA,43
1225.0,Rent,44
250.0,Student Loan Payments,44
105.0,Utilities & Internet:  ~,44
121.0,MetroCard,44
9.99,for 30 days unlimited Spotify,44
150.0,Savings,44
150.0,,44
0.0,Health   Insurance,44
0.0,Phone,44
75.0,Advertisement Additional Expenses Gym:  I paid,44
1100.0,Rent,45
0.0,Student Loan Payment,45
30000.0,. (I graduated from college with,45
100.0,"Utilities, Cable & WiFi:  ~",45
4.0,Spotify,45
4.0,New York Times  Subscription,45
50.0,Therapy,45
12.99,Headspace,45
97.0,Advertisement Phone Bill,45
125.0,"Netflix, HBO Go & Hulu:  I use my boyfriend's. Workout Class Package",45
0.0,alternating between spin and barre every month Transportation,45
400.0,,45
1260.0,Mortgage,46
600.0,", including property taxes and insurance. (My boyfriend pays",46
240.0,Student Loan Payment,46
316.0,,46
88.0,"Medical, Vision & Dental Insurance",46
22.0,pretax Sling TV App,46
50.0,Phone Bill,46
80.0,Car Insurance,46
250.0,Utilities:  ~,46
7.0,UNICEF Donation,46
750.0,Rent,47
44.57,Student Loan Payment,47
250.31,"minimum, but sometimes I pay more.  Car Loan Payment",47
50.0,Electricity,47
100.0,-,47
116.95,depending on the season. Internet & Cable,47
89.9,Car Insurance,47
60.0,YMCA Membership,47
500.0,Credit Cards:  ~,47
1395.0,Rent,48
0.0,Student Loan Payments,48
100.0,Utilities:  ~,48
45.0,Internet,48
80.0,Cell Phone,48
0.0,Gym,48
10.0,Spotify,48
0.0,Netflix,48
2000.0,Investments,48
0.0,Rent,49
196.15,Student Loan Payment,49
20000.0,. (I have ~,49
210.0,Bus Pass,49
121.0,Unlimited MetroCard,49
0.0,Phone,49
0.0,Netflix,49
60.0,401k,49
100.0,". (My employer matches a little over half of this, so in total, my retirement account accrues",49
0.0,Health Insurance,49
27.0,Gym Membership,49
750.0,Savings,49
513.0,Rent,50
220.0,Student Loan Payment,50
185.0,Car Loan Payment,50
7500.0,. (I have,50
36.0,Health Insurance,50
355.0,State Retirement Plan,50
7.12,Short Term Disability,50
72.0,Cell Phone Bill,50
28.0,paid to my mom Internet,50
90.0,"Water, Trash & Electricity:  ~",50
29.67,Pool Service,50
5.0,Budgeting Software,50
0.0,Public Transportation,50
10.78,Spotify,50
11.99,Car Wash Membership,50
12.71,Hulu,50
50.0,Charity,50
45.0,to various organizations. ClassPass,50
150.0,Pet Expenses:  ~,50
220.0,"between food, treats, grooming, toys, and medication. Advertisement Savings:  I allocate",50
220.0,"into a separate account for things like taxes, credit card user fees, vet appointments, medical bills, and other irregular expenses.",50
125.0,"/month was the average I spent in 2017 on all of these combined, which is how I came up with that number. I also put",50
1350.0,Mortgage & Maintenance Fees,51
370.0,Student Loan,51
0.0,Health Insurance,51
145.75,"401k:  I don't make any contributions, but my employer contributes",51
4000.0,every month. (I currently have ~,51
90.0,Phone,51
60.0,Internet,51
7.99,Hulu,51
10.99,Netflix,51
36.0,Gym,51
345.0,Credit Cards,51
8000.0,. (I recently paid off ~,51
795.0,Rent,52
0.0,Student Loan Payment,52
15.0,Spotify,52
0.0,Health Insurance,52
0.0,"I don't have one yet, but it will become active after 90 days of employment. Utilities",52
0.0,Netflix,52
0.0,Hulu,52
954.0,Rent,53
486.0,Student Loan Payment,53
255.0,Car Loan Payment,53
75.0,Pension Plan:  3% of my income Deferred Compensation Retirement Plan,53
67.0,". These amounts are taken out before I get my paycheck. Health Care, Dental & Vision",53
100.0,taken out of my paycheck. Utilities:  ~,53
140.0,"in the winter, ~",53
20.0,Renters Insurance,53
73.0,Cable & Internet,53
75.0,Phone Bill,53
175.0,Car Insurance,53
50.0,Donations,53
15.3,Netflix,53
50.0,Emergency Fund,53
415.0,Vacation/Gift Fund,53
1135.0,Mortgage,54
227.0,Student Loan Payment,54
350.0,Plumbing Repair Loan Payment,54
55.0,Health Insurance,54
50.0,Car Insurance,54
30.0,Trash Pickup,54
0.0,Gas & Electric,54
0.0,Cable,54
0.0,Netflix,54
9.99,Spotify,54
30.0,Hubble Contact Subscription,54
10.0,Gym,54
75.0,Credit Card Payment:  I try to pay ~,54
100.0,-,54
700.0,. (My balance is hovering around,54
1300.0,Rent,55
0.0,Student Loan Payment,55
219.0,Car Lease,55
153.0,Car Insurance,55
53.0,Health Insurance,55
6.0,taken out of my paycheck. Hulu,55
9.0,Starz,55
10.99,Amazon Prime,55
12.0,Squarespace,55
0.0,Netflix,55
9.99,Spotify Premium,55
80.0,Phone Bill,55
520.0,Therapy,55
1490.0,Rent,56
0.0,Student Loan Payment,56
100.0,"Health, Vision & Dental Insurance",56
50.0,HSA,56
55.0,ClassPass,56
20.0,Utilities,56
42.0,Internet,56
38.0,DirectTV Now,56
11.0,Spotify,56
0.0,Hulu/Spotify/HBO GO,56
0.0,Amazon Prime,56
300.0,,56
500.0,.  Savings,56
1000.0,-,56
100.0,Brokerage Account,56
850.0,Rent,57
286.0,Student Loan Payment,57
0.0,Health Insurance,57
52.0,Wifi/Cable,57
60.0,Advertisement Metro,57
26.0,taken out of my paycheck pre-tax Water,57
35.0,-,57
25.0,Gas,57
40.0,-,57
32.0,Gym Membership,57
8.0,Bike Share,57
2.09,Google Storage,57
10.81,Spotify,57
0.0,Netflix,57
15.0,Amnesty International Donation,57
600.0,Additional Expenses Roth IRA:  I put in,57
2400.0,every six months. (There's currently,57
1175.0,Rent,58
178.0,Student Loan Payment,58
30.0,"Electric, Heat & A/C:  ~",58
44.55,Cable & Internet,58
10.0,Netflix,58
0.0,Hulu,58
55.0,Gym,58
2175.0,Rent,59
0.0,Student Loan Payment,59
121.0,MetroCard,59
433.0,taken out of my paycheck pre-tax Health Insurance,59
70.0,taken out pre-tax Electricity & Gas:  ~,59
58.0,Phone:  ~,59
45.0,Internet,59
2.99,ICloud Storage,59
1.1,Afar Magazine Subscription,59
682.5,Rent,60
200.0,Student Loan Payment,60
61.0,Transportation Pass:  I pay,60
46.0,and my employer pays,60
25.0,"Health Insurance:  I'm on German statutory insurance. My employer pays 8% of my salary, and I pay 7%. Dental Insurance",60
69.0,Gym Membership,60
10.0,Netflix,60
30.0,Phone,60
1149.74,Mortgage,61
500.0,", plus",61
0.0,extra principal each month. Student Loan Payment,61
230.0,Electricity,61
120.15,Home Insurance,61
87.86,Phone Bill,61
65.73,Wifi,61
7.95,Northwest Arkansas Democrat-Gazette Subscription,61
27.06,Lawn Mowing Service,61
22.0,Coffee Subscription,61
56.0,Water Bill,61
52.0,"at the Dallas rental, and",61
24.0,HOA fees,61
74.24,Car Insurance,61
500.0,Savings,61
566.67,,61
10.0,Democratic Party Of Benton County Donation,61
10.81,Spotify,61
16.11,HBO Now,61
8.62,Hulu,61
51.95,Blue Apron Subscription,61
88.0,Yoga Membership,61
8.0,New York Times  Subscription,61
10.0,Netflix,61
0.0,Rent,62
0.0,Health Insurance,62
350.0,Student Loan Payment,62
397.25,Car Loan Payment,62
184.43,Car Insurance,62
10.99,Netflix,62
2.99,ICloud Storage,62
17.95,Gym Membership,62
57.0,~,62
500.0,per paycheck Roth IRA,62
500.0,Savings,62
1000.0,-,62
3500.0,Rent,63
1200.0,"for our two-bedroom, two-bathroom apartment. Student Loan Payments",63
200.0,for mine and my husband's combined. (I only pay,63
49.47,Health Insurance,63
230.0,per paycheck Car Payment,63
12.0,Netflix,63
9.99,Spotify,63
50.0,Gym Membership,63
20.0,. (,63
30.0,"for my BBG app, and",63
250.0,Utilities & Internet,63
214.5,Cleaning Service,63
440.0,Dog Walker,63
22.0,. (,63
186.0,Cell Phone,63
120.0,My Mom's Long-Term Insurance,63
166.26,,63
250.0,"per paycheck, and my company matches. Savings:  I put",63
500.0,in and he puts in,63
1157.0,Rent,64
0.0,Student Loan Payment,64
227.0,"Medical, Dental & Vision Insurance",64
9.99,Spotify Premium,64
11.72,Netflix,64
260.0,Car Payment,64
0.0,Car Insurance,64
0.0,Cell Phone,64
109.0,Gym Membership,64
0.0,Transportation,64
200.0,CD Investment Account,64
200.0,Personal Savings Account,64
400.0,-,64
1600.0,Mortgage,65
0.0,Student Loan Payment,65
0.0,Health Insurance,65
280.0,Car Insurance,65
400.0,Utilities:  ~,65
11.99,Netflix,65
10.0,Hulu,65
30.0,Yoga Studio,65
0.0,Phone,65
0.0,Rent,66
44.44,Health Insurance,66
70.0,", out of my paycheck Internet",66
30.0,split between my fiancé and me  Electricity,66
120.0,-,66
0.0,depending on our A/C usage Gym,66
0.0,Netflix,66
0.0,Hulu,66
0.0,Student Loan Payment,66
1700.0,. (I am paying off my grad school directly without loans. I still owe my school,66
30.0,Zumba Certification,66
400.0,,66
5500.0,"IRA:  Whatever is leftover in my account, with a max of",66
0.0,Rent,67
20000.0,. (Part of my employment contract included housing of up to,67
1660.0,"a year. I live in a one-bedroom apartment that, if I was paying rent, would be about",67
0.0,Student Loan Payment,67
105.0,Internet,67
75.0,Phone,67
150.0,Utilities & Water,67
200.0,-,67
550.0,,67
50.0,including insurance and all maintenance. Credit Card,67
100.0,-,67
0.0,"I also like keeping an active credit score, so if I ever decide to move back to the States, I'll have a base. Netflix",67
7622.0,Rent,68
647.9,Helper,68
591.0,Utilities,68
110.0,Landlord's Insurance,68
0.0,Health Insurance,68
1626.0,Car Lease,68
13.6,Netflix,68
39.99,Online Exercise Class Subscription,68
19.5,Cratejoy Subscription,68
45.0,Online Newspaper & Magazine Subscriptions,68
12000.0,"Charities:  We donate an average of 5% of our annual pre-bonus post-tax income to various charities and friends doing charity walks, etc.  Savings:  We save at least",68
266.78,", plus the entirety of my husband's annual bonus. Additional Expenses Childcare",68
502.0,/week Pest Control,68
200.0,Housing Cost:  ~,69
380.0,. Student Loan Payment,69
230.0,Car Payment,69
170.0,Utilities:  ~,69
160.0,Health & Dental Insurance:  ~,69
300.0,,69
50.0,Roth IRA,69
95.0,Car Insurance,69
300.0,Line Of Credit Payment,69
