title,value,diary_index
Roth IRA,$100,9
Savings,$415,9
Bike Share Annual Pass,: $75/year,9
Occupation,Assistant Director,10
Industry,College Athletics,10
Age,25,10
Location,"Norman, OK",10
Salary,"$38,000",10
Paycheck Amount (2x/month),"$1,133.42 (I'm currently also earning overtime, so my paycheck varies by $100-$400.)",10
Rent,$685 for a one-bedroom on a golf course,10
Monthly Loan Payments,"$459.86 (I have $40,000 in loans to pay off from undergrad. I went to school out of state and did not have a huge college fund.)",10
"Health, Dental & Vision Insurance",$303.75,10
Internet,$40,10
Sling TV,$29.99,10
Spotify,$9.99,10
Utilities,"~$100 (It varies, depending on my work travel schedule.)",10
Car Insurance,$115,10
Car Payment,"$366.82 (I didn't want to have a car payment right now, but my car broke down on me and was basically totaled, so I didn't really have a choice.)",10
Ashley Furniture,$108.50,10
Netflix,"$0 (Thanks, Mom and Dad!)",10
Occupation,Video Editor,11
Industry,Film & Television,11
Age,29,11
Location,"Los Angeles, CA",11
MySalary,"$135,000",11
My Paycheck (Biweekly),"$3,650",11
My Husband's Salary,"$105,000 (We got married late last year and haven't combined our finances through a joint account or anything yet. We keep our accounts separate, but split a lot of expenses or trade off paying for things.)",11
My Husband'sPaycheck (Monthly),"$6,000",11
Rent,"$3,100 (split with my husband)",11
Student Loan Payment,$0 (I'm really grateful that my parents paid for school.),11
"Health, Vision & Dental Insurance",$0 (PPO insurance is included in my union dues.),11
Internet,$70 for crap internet,11
Utilities,$0 (husband pays),11
Netflix,"$11 (I pay for Netflix, and my husband pays for HBO.)",11
Credit Monitoring Service,"$20 (I had my identity stolen years ago, so I'm extra careful.)",11
Roth IRA,"$300 (I don't have a 401(k) option through work since we have a union, and the company pays into my union pension.)",11
Orangetheory,$129 for eight classes,11
Gym,$20,11
Planned Parenthood Donation,$15,11
ACLU Donation,$15,11
NPR Donation,$10,11
Subscription,$10.50,11
Car Payment,$0 (It's paid off!),11
Auto & Renter's Insurance: $,150,11
Savings,"$1,000",11
Union Dues,"$170, quarterly",11
Amazon Prime,$100/year (My husband shares my account.),11
Occupation,Teacher,12
Industry,Education,12
Age,32,12
Location,"Conroe, TX (north of Houston)",12
MySalary,"$54,000",12
My Husband's Salary,"$67,000",12
MyPaycheck Amount (2x/month),"$1,674",12
My Husband's Paycheck Amount (2x/month),"$2,250",12
Mortgage,"$1,687 (This includes homeowner's insurance and property taxes.)",12
Student Loan Payment,"$0 (My college was covered by scholarships, and my husband's parents paid for his undergrad.)",12
Car Payment,$0 (Both of our cars are paid off.),12
Health Insurance,"$148 for me, and my husband's employer covers his medical insurance",12
Dental Insurance,"$16 for me, and my husband's employer covers his dental insurance",12
Electric Bill,$50-100,12
Gas Bill,$20-50,12
"Water, Sewer & Trash",$150-200,12
Cable & Internet,$165,12
Car Insurance,$124,12
Cell Phone,"$53 (I share a plan with my twin sister. My husband's parents inexplicably still pay for his, but he tries to pay them back in other ways.)",12
Netflix,$12,12
Retirement,"$348.40 to the Teacher Retirement System, a pension that public school employees pay into instead of paying into Social Security. And my husband contributes $415 to his retirement fund.",12
Savings & Investments,"$2,000-2,500, deposited into a brokerage account. (We try to save at least $20,000 a year, but we didn't meet that goal last year because we bought our home.)",12
Prescriptions,$15,12
Subscription,$3,12
Costco Membership,$60/year,12
Lawn service,$174 (4x/year),12
HOA,"$1,025/year",12
Pest Control,$96 (6x/year),12
Occupation,Corporate Accounting Manager,13
Industry,Manufacturing,13
Age,31,13
Location,"St. Paul, MN",13
MySalary,"$95,000",13
My Husband's Salary,"$70,000",13
Paycheck Amount (2x/month),"$2,866",13
My Husband's Paycheck Amount (2x/month),"$1,831",13
Mortgage,"$2,145 (includes P&I, HO insurance, property taxes, and flood insurance)",13
Car Loan Payment,$325,13
Student Loan Payment,"$0 (Mine are paid off, and my husband's education was paid by the GI Bill.)",13
"Electric, Gas, Garbage & Water",~$200,13
Internet,$69,13
Life Insurance,$292 (includes a combination of whole life with cash value and term),13
Car Insurance,$180 (for both cars),13
Netflix,$12,13
Hulu,$10,13
Preschool/Childcare,"$1,200 (for two children)",13
HSA,$100 (My employer covers premiums and contributes $120.),13
401(k),"6% of my salary (employer matches 3%), and same goes for my husband",13
Savings,"$1,000 automatic transfers into a brokerage account. (We keep around $50,000 in checking and savings accounts for liquid savings, travel, and home improvement projects.)",13
MyDaughters' Savings Accounts,"$100 into each daughter's account, in addition to any money they receive as gifts. (I want to switch these over to education savings plans, but have not done so yet.)",13
Occupation,Senior Analyst,14
Industry,Legal & Regulatory,14
Age,30,14
Location,New York City,14
Salary,"$99,000, with a 10% annual bonus",14
Paycheck Amount (Biweekly),"$2,104.57",14
Rent,"$1,100 (I live with my boyfriend of six years, and we split our rent and shared expenses proportionate to our salaries. The total rent for our one-bedroom duplex in Manhattan is $2,900.)",14
Student Loan Payment,"$0 (My parents covered undergrad, and I worked full-time while completing my master's degree.)",14
MetroCard,$121 (taken out of my paycheck pre-tax),14
"Health, Dental & Vision Insurance",$120,14
Retirement,"$410 (6% of my salary, with a 5% corporate match)",14
"Electricity, Gas, & Internet",~$140 (split with my boyfriend),14
Cleaning Service,$115 (split with my boyfriend),14
"Hulu, Netflix, HBONow, & Spotify","$50 (I'm still on my family's cell plan, and in exchange I give my family access to all of my subscriptions.)",14
Stitch Fix,$20 (every 6 weeks),14
Occupation,Digital Marketing Specialist,15
Industry,Furniture,15
Age,22,15
Location,"Petaluma, CA",15
Salary,"$65,000",15
Paycheck Amount (Biweekly),"$1,873",15
Rent,"$1,425 (I split the rent with my boyfriend.)",15
Student Loan Payment,$0 (My parents paid my college tuition in full.),15
Car Loan Payment,$125 (I split the car loan with my boyfriend.),15
"Health, Dental & Vision Insurance",$85,15
Gas & Electric,"$100 (If it's more than $100, my boyfriend pays the rest.)",15
Water,$65,15
Garbage,$17,15
Spotify,$5 (I'm still using a student account.),15
Internet,$0 (My boyfriend pays.),15
Netflix,$0 (We use my dad's account.),15
Car Insurance,"~$1,000 (paid once a year)",15
Occupation,Program Manager,16
Industry,Nonprofit,16
Age,25,16
Location,Upstate New York,16
Salary,"$31,200",16
Paycheck Amount (2x/month),$941,16
Rent,"$400 for my half. (I live in my friend's five-bedroom farmhouse on 82 acres, which is mostly forest.)",16
Student Loan Payment,$0 (I was an AmeriCorps volunteer for two years.),16
Utilities,"~$30 (It depends on the month. We don't have A/C, and we heat the house using a wood stove. We supply the wood from the land we live on.)",16
Phone Bill,$80 (I have unlimited data and a hot spot. We can't get Internet at the house — we're pretty remote.),16
Running Club,$175 (including a half marathon training plan),16
Car Insurance,"$100 (I'm still on my mom's plan, but I pay her every month.)",16
Spotify,$10.99,16
Netflix,$7.99 (I cover it for my sister and me.),16
ACLU,$20,16
Planned Parenthood,$20,16
Savings,"$~600 (I have an automatic deduction every payday of $300, but sometimes I have to reduce that to $200.)",16
Piano Lessons,$15/week,16
Occupation,Assistant Surgeon & Full-Time PhD Student,17
Industry,Medicine,17
Age,31,17
Location,"Melbourne, Australia",17
Salary,"$91,972",17
Rent,"$493 (My boyfriend and I are living with my mum right now, as we have purchased an off-the-plan apartment that will be finished at the end of the year and are trying to save before we move.)",17
Taxes,"I set aside 40% of my income for taxes (this overestimates how much I owe, so the rest is savings.)",17
Phone,$89.46,17
Netflix & Stan,$18.95,17
Gym Membership,$84.91,17
Car Insurance & Registration,$107.40,17
Health Insurance,$162.23,17
PublicTransportation,$37.91,17
Zoo Membership,$5.30,17
Occupation,Partner Manager,18
Industry,Tech,18
Age,31,18
Location,Singapore,18
Salary,"$77,088, plus another 15-20% in bonus. I also get equity as part of my annual package.",18
Paycheck Amount (Monthly),"$6,424 (This is pretax, as there isn't tax withholding in Singapore.)",18
Rent,$748.50 (I live with one roommate.),18
Monthly Loan Payment,"$562, for an investment property with friend. We rent it, but it's a renters' market.",18
Central Provident Fund (Government Retirement Fund),"$1,285 (My company matches $1,092.)",18
Taxes,$824 (I pay monthly.),18
Cellphone,$30 for my personal phone. (I have another phone that's covered by work.),18
Netflix,$5.24 (I split with my roommate.),18
Spotify,$0 (I'm on a family plan.),18
Monthly Investment Account,$378,18
Dance Studio Membership,$112,18
Bouldering Gym,$28.50,18
Transport Card,$30-40,18
Bone Marrow Foundation Donation,$45,18
Other Investment Account,"$9,131 annually",18
Occupation,Gameplay Engineer,19
Industry,Video Games,19
Age,34,19
Location,San Francisco,19
Salary,"$114,500",19
Paycheck Amount (Biweekly),"$1,922",19
Rent,"$2,095 (I live alone in a rented one-bedroom apartment.)",19
Student Loan Payment,$0 (I paid for college mostly by myself.),19
Netflix,$10.99,19
Hulu,$11.99,19
Pandora,$3.99,19
Spotify,$9.99,19
Cell Phone,$83.56,19
Internet,$49.99,19
Electricity,~$35,19
401(k),"$1,409 (15% of salary before tax)",19
ESPP (Employee Stock Purchase Plan),$880,19
Medical Insurance,$92,19
Dental Insurance,$8,19
Vision Insurance,$10,19
Car Insurance,$73,19
Amazon Prime,$119/year,19
Occupation,Project Coordinator,20
Industry,Fashion,20
Age,33,20
Location,New York City,20
Salary,"$32,084",20
Paycheck Amount (Weekly),$617.23,20
Housing,$500. (My portion of the maintenance for the co-op my fiancé owns that we live in.),20
Student Loan Payment,"$0. (I decided to go to college in my mid-20s, and I haven't started paying loans back yet.)",20
Tuition Payment Plan,$400.17,20
ConEd,$65. (Varies slightly by month and season.),20
Internet,$49.99,20
Netflix,$10.99,20
Hulu,$11.99,20
Lola Tampon Subscription,$8-16. (Depends on the month and if I have any left over last month.),20
Vitamins from Ritual,$32,20
Weekly Metrocard,$35,20
Occupation,Copywriter,21
Industry,Marketing,21
Age,24,21
Location,"Detroit, Michigan",21
Salary,"$38,000",21
Paycheck Amount (2x/month),"$1,142.58",21
Rent,"$360. (I live in a three-bedroom duplex with one roommate, and we split the $720 rent equally.)",21
Student Loan Payment,$350,21
Utilities,~$100,21
Health Insurance,$0. (Staying on my stepmom's until I'm 26.),21
Phone Bill,$0. (My dad's work has covered our family's phone bill for as long as I can remember.),21
Wifi,$15,21
401(k),$175,21
Car Insurance,"$0. (My dad pays right now. I'm saving up to buy a more reliable, “adult” car this fall, at which point I'll be taking over my insurance for good.)",21
Spotify,$9.99,21
Gym,$9.99,21
Netflix/Hulu,$0. (I'm that mooch friend everyone has.),21
Savings,"~$500. (My boyfriend and I are aiming to buy a small building in Detroit in two to three years, and then renovate it into a living/work space. He is a ceramist, and many Detroit artists have been buying abandoned buildings and converting them into living/work spaces, community studios, and galleries.)",21
Occupation,Travel Registered Nurse,22
Industry,Healthcare,22
Age,23,22
Location,Southern New Hampshire,22
Salary,"$60,000-$85,000, depending on my travel assignment",22
Paycheck Amount (Weekly),$1500,22
Rent,$0 (I live with family when I travel.),22
Student Loan Payment,$1550,22
Phone Bill,$63,22
Car Insurance,$88,22
Health Insurance,$0 (I'm still on my parents' plan.),22
Netflix,I use my brother's account.,22
Doctor Bill,"$20 (I go to a holistic primary care physician, so I pay monthly and get acupuncture, hypnosis, and unlimited sick visits.)",22
EZ-Pass,~$40 (I drive through New England frequently and pass a lot of tolls.),22
Paycheck Allocation,"~40% into my checking account, which I use for my loans; ~25% into my savings account; ~17.5 % in my personal checking, which I use for everyday spending and monthly payments; ~17.5% into a savings account I have with my fiancé for our wedding and our future.",22
Occupation,Copywriter,23
Industry,Advertising,23
Age,22,23
Location,"Chicago, IL",23
Salary,"$42,000",23
Paycheck Amount (Biweekly),"$1,210",23
Gender Identity,Fluid,23
Rent,$675,23
Student Loan Payment,$275,23
Health & Dental Insurance,$0 (I'm on my dad's.),23
Transportation,$105 for a 30-day unlimited pass,23
Internet,$18 (Split three ways with my roommates.),23
Utilities,$75,23
Phone,"$0 (Thanks, Mom and Dad.)",23
Occupation,Key Account Specialist,24
Industry,Apparel Manufacturing & Marketing,24
Age,32,24
Location,"Vancouver, BC",24
Salary,"$39,500",24
Paycheck Amount (2x/month),"$1,177",24
Mortgage,$630 (I live in a two-bedroom condo with my two wolf huskies.),24
Student Loan Payment,$0 (I went to community college and paid for it out of pocket.),24
Condo Strata Fee,$292,24
Phone Bill,$65,24
Internet & Cable,$113,24
Spotify & Netflix,$16.50,24
Lash Treatment,$220 for 2x/month,24
Office Breakfast Program,$24,24
Electricity,$40,24
Dog Expenses,$120,24
Car Expenses,$155,24
BCSPCA (Charity),$27,24
Occupation,Communication Specialist,25
Industry,Higher Education,25
Age,26,25
Location,"Boston, MA",25
Salary,"$47,000",25
Paycheck Amount (Weekly),$561,25
Monthly Housing Costs,"$1,042.50 for my half. (I live with one roommate.)",25
Student Loan Payments,"$0 (I'm deferring my undergrad loans right now, but I have around $7,500 left to pay off.)",25
Health Insurance,$140,25
Dental Insurance,$16,25
Car & Renter's Insurance,$140,25
401(k),$70,25
403b,$240,25
Work Parking Spot,$17,25
FSA,$10,25
Phone,$65,25
Spotify,$6,25
ClassPass,$15,25
Wifi,$27.89,25
Electricity,~$15,25
Occupation,Programmer,26
Industry,Tech,26
Age,23,26
Location,"New York, NY",26
Salary,"$70,000",26
Paycheck Amount (2x/month),"$1,955",26
Rent,"$1,250 for a studio. (I knew someone who knew someone, and got a great deal.)",26
Student Loan Payment,$0 (My parents helped fund my education.),26
Health Insurance,"$0 (The health insurance through my work is terrible and expensive, so I'm on my parents' plan.)",26
Electricity,~$100,26
Internet,$15,26
Spotify,$9.99,26
Phone,$0 (I'm on my parents' plan.),26
MetroCard,$121 for 30 days unlimited,26
Therapy,$160,26
Savings,"~$500-$1,000 (I put in whatever I have leftover every month.)",26
Cleaning Service,"$60, every other week",26
Occupation,Assistant Language Teacher,27
Industry,Education,27
Age,25,27
Location,"Niigata, Japan",27
Salary,"$32,780.92",27
Paycheck Amount (Monthly),"$2,731",27
Rent,$370,27
Health Insurance,$123.53,27
Welfare Pension,$233.3o,27
Car Rental,$318.92 (includes insurance and regular maintenance),27
Utilities,$54.98,27
Internet,$54.98,27
Phone Bill,$41,27
Netflix,$10.99,27
Spotify,$8.92,27
Monthly Lunch Bill,~$40,27
Occupation,Human Resources Manager,28
Industry,Pharmaceuticals,28
Age,30,28
Location,"San Diego, CA",28
Salary,"$112,500",28
Paycheck Amount (2x/month),"$2,759 (after employee stock and medical deductions)",28
Mortgage,"$2,250, plus the $300 HOA fee. (My sister lives with me and pays $400/month.)",28
Student Loan Payment,$455,28
"Car Payment, Insurance & Phone",$350,28
Internet & Cable,$0 (My sister pays this.),28
Netflix,$10.99,28
Wine Membership,$32.50 for my portion. (I split with a friend.),28
ClassPass,$50,28
Savings,I put in whatever I have leftover at the end of the month. I'm rebuilding my savings after buying my place.,28
CSA Box,$35/week,28
Occupation,Associate Clinical Research Coordinator,29
Industry,Health Care,29
Age,26,29
Location,"New Orleans, LA",29
Salary,"$37,000",29
Paycheck Amount (Biweekly),$917.72,29
Rent,$800 for my half (I live with my boyfriend and we split the rent evenly.),29
Student Loan Payment,"$197.58, from undergrad and grad school. (I have an income-based repayment plan.)",29
Apple Music,$4.99,29
Netflix,$0 (I use my parents' account.),29
Phone Bill,"$0 (I'm on my parents' family plan, which they still pay for.)",29
Le Tote,$64,29
Book of the Month Club,$14.99,29
Gas & Electric,~$140 split evenly with my boyfriend. (We're signed up for level billing but it fluctuates a little.),29
Cable & Internet,"$117.34, split evenly with my boyfriend",29
401(k),"$56.96, deducted from each paycheck pre-tax",29
403b,"$56.96, deducted from each paycheck pre-tax",29
Dental Insurance,$7.10,29
Flex Spending Account,"$29.81, deducted from each paycheck pre-tax",29
Health Insurance,"$89.10, deducted from each paycheck pre-tax",29
Vision insurance,"$3, deducted from each paycheck pre-tax",29
Long-term Disability Insurance,"$10.28, deducted from each paycheck pre-tax",29
Term life insurance,"$1.09, deducted from each paycheck pre-tax",29
Other Savings,"I use Digit, which withdraws random small amounts from my personal checking account.",29
Occupation,Office Manager,30
Industry,Architecture,30
Age,27,30
Location,"Los Angeles, CA",30
Salary,"$55,000",30
Additional Income,"$500/month from my parents, for the time being. I am extremely grateful for this.",30
Paycheck Amount (2x/month),"$1,767",30
Rent,"$1,756 (I live in a small one-bedroom “affordable housing” apartment. $150 parking fee is included.)",30
Internet,$49.99,30
Electricity,$20,30
Gas & Water,$0 (Covered by my landlord.),30
Cell Phone,$100,30
Car Insurance,$72,30
"Medical, Vision & Dental Insurance",$0 (Covered in full by my employer.),30
Netflix,$10.99 (I share my account with my entire family and then some.),30
Pandora,$4.99,30
Apple Cloud Storage,$1.99,30
"HBO, Showtime & Firestick",$0 (I use my parents' logins.),30
Hulu,$0 (I use an old roommate's account.),30
Costco,$0 (I'm on my parent's business account.),30
Credit Card,"$800-1,000, for the next couple of months until my debt is paid off. (I've paid off $8,000 in the past nine months.)",30
Savings,$0 (I've stopped saving so that I can focus on aggressively paying off my debt.),30
401(k),"I plan to have 4% taken out of my paychecks once I'm eligible, in addition to the 7.5% of my salary that my employer contributes. I will up my contribution amount significantly once my debt is paid off.",30
Therapy,"$35, biweekly",30
Headspace,"$95.88 for a year, paid up front",30
Occupation,Environmental Specialist,31
Industry,Government,31
Age,24,31
Location,"Seattle, WA",31
Salary,"$43,500",31
Paycheck Amount (2x/month),"$1,377.51",31
Rent,$750 (My share of a one-bedroom apartment that I live in with my partner; rent includes parking),31
Student Loan Payment,$0 (I was very lucky that my mom and dad paid for my education.),31
Health Insurance,$155.88 (taken out of my paycheck),31
Pet Insurance,$24.62 (taken out of my paycheck),31
401(k),$210 (My employer matches my contribution at the end of the year.),31
Transportation,$110 (covered by work),31
Car Insurance,$57.40,31
Spotify & Hulu,$12.99,31
Netflix,"$0 (Thanks, mom and dad.)",31
Climbing Gym,$69.36,31
Phone Bill,$0 (This is my last month on my parents' plan — next month it will be $40.),31
Utility Bill,~$45,31
Savings,$150,31
Occupation,Graphic Designer,32
Industry,Real Estate,32
Age,25,32
Location,"Dallas, TX",32
Salary,"$62,000",32
Paycheck Amount (2x/month),"$1,900",32
Monthly Freelance Income,"~$1,000",32
Rent,"$1,490",32
Student Loan Payment,$0. (My grandparents and parents paid for my tuition.),32
"Health, Vision & Dental Insurance",$100,32
HSA,$50. (My company pays the rest.),32
ClassPass,$55,32
Utilities,$20,32
Internet,$42,32
DirectTV Now,$38,32
Spotify,$11,32
Hulu/Spotify/HBO GO,"$0. (I use my brother's accounts, because he is the best.)",32
Amazon Prime,$0. (I use my parents' account.),32
401(k),$300.,32
Savings,"$500-$1,000. (One of my New Year's Resolutions was to double my savings each year. I did it last year, but this year is proving to be a bit harder than I expected.)",32
Brokerage Account,"$100. (I feel really blessed that my family paid for my education, so I opened this account solely for my future children's tuition.)",32
Occupation,Assistant,33
Industry,Think Tank,33
Age,23,33
Location,"Washington, D.C.",33
Salary,"$40,000",33
Paycheck Amount (2x/month),"$1,344.62",33
Rent,$850. (I live in a three-bedroom house with two roommates. Only drawback is that my room is a literal shoebox.),33
Student Loan Payment,$286. (I'm on track to finish paying off my loan in 10 years.),33
Health Insurance,$0. (I'm on my parents' plan.),33
Wifi/Cable,$52,33
Metro,"$60, taken out of my paycheck pre-tax",33
Water,$26-$35. (D.C. water is PRICEY.),33
Gas,"$25 -$40. (It's been pretty cold, so this has been rough.)",33
Gym Membership,$32,33
Bike Share,$8,33
Google Storage,$2.09,33
Spotify,$10.81,33
Netflix,$0. (I mooch off my sister.),33
Amnesty International Donation,$15,33
Roth IRA,"I put in $600 every six months. (There's currently $2,400 total in the account.)",33
Occupation,Entrepreneur,34
Industry,Hospitality,34
Age,26,34
Location,"New York, NY",34
